Model	Trait	Sex	Population	Line	Coef_Parsch	Coef_Vieira	SE_Parsch	SE_Vieira
lmer_pop	HSM	F	AK	AK1	332.168974937708	336.691912230308	28.0565441270414	9.71418952937175
lmer_pop	HSM	F	AK	AK10	414.433974937708	348.715912230308	30.9729211304427	10.4494772219741
lmer_pop	HSM	F	AK	AK11	450.673974937707	374.687912230308	29.4382837705023	14.4162371724579
lmer_pop	HSM	F	AK	AK13	439.585974937708	340.281912230308	30.3696258184493	14.7417550587627
lmer_pop	HSM	F	AK	AK14	389.139974937708	377.567912230308	28.9590602808969	12.5437129356724
lmer_pop	HSM	F	AK	AK17	306.278974937708	360.426912230308	28.010137385465	11.3197889650185
lmer_pop	HSM	F	AK	AK18	397.928974937708	379.998912230308	36.778042312671	10.8829895806509
lmer_pop	HSM	F	AK	AK20	418.074974937708	327.801912230308	35.7692180981444	9.88211299331047
lmer_pop	HSM	F	AK	AK21	423.615974937708	NA	33.6152766365625	NA
lmer_pop	HSM	F	AK	AK3	395.269974937708	361.583912230308	38.0027363798006	13.5606096548996
lmer_pop	HSM	F	AK	AK4	330.453974937708	382.142912230308	28.4021156316325	16.4404851878695
lmer_pop	HSM	F	AK	AK6	428.233974937708	375.957912230308	33.6052946476091	19.2674406502928
lmer_pop	HSM	F	AK	AK7	368.782974937708	384.657912230308	44.4413482733436	11.2706649853749
lmer_pop	HSM	F	AK	AK9	422.868974937708	363.031912230308	31.2508704415193	12.7112494355416
lmer_pop	HSM	F	GI	GI1	328.25455604659	348.711329900921	27.5704479920967	10.2561102069316
lmer_pop	HSM	F	GI	GI10	364.29255604659	367.714329900921	28.6605360641581	12.9661219945181
lmer_pop	HSM	F	GI	GI11	377.50655604659	339.516329900921	28.7762114164618	10.1830305693701
lmer_pop	HSM	F	GI	GI12	353.60555604659	311.805329900921	28.396049275998	10.900961268472
lmer_pop	HSM	F	GI	GI13	323.53555604659	353.132329900921	27.6163720007699	10.9611099609814
lmer_pop	HSM	F	GI	GI14	282.02255604659	NA	27.6163720007699	NA
lmer_pop	HSM	F	GI	GI15	349.86755604659	339.066329900921	28.295604154796	10.8545730720617
lmer_pop	HSM	F	GI	GI2	385.59855604659	325.464329900921	29.2675719437897	10.2053008077531
lmer_pop	HSM	F	GI	GI3	339.47855604659	351.303329900921	27.9098034297074	11.766904290285
lmer_pop	HSM	F	GI	GI4	351.48255604659	316.191329900921	28.5651000783282	10.8122818857412
lmer_pop	HSM	F	GI	GI5	270.48155604659	323.391329900921	27.7680575929414	10.2129880337111
lmer_pop	HSM	F	GI	GI6	337.20155604659	NA	28.2170020109314	NA
lmer_pop	HSM	F	GI	GI7	340.14655604659	346.025329900921	28.4664775391145	10.1546661479699
lmer_pop	HSM	F	GI	GI8	342.68355604659	307.950329900921	28.3783952943944	10.0440499588924
lmer_pop	HSM	F	GI	GI9	316.40955604659	311.681329900921	27.8811600814046	11.3788961053666
lmer_pop	HSM	F	KA	KA1	315.59202393966	370.646498342773	27.8821820962294	11.1308818656092
lmer_pop	HSM	F	KA	KA10	377.47302393966	362.510498342773	29.9082572953908	17.7441591546669
lmer_pop	HSM	F	KA	KA11	368.22202393966	382.647498342773	31.1396464727411	16.5507993494619
lmer_pop	HSM	F	KA	KA14	376.39602393966	353.630498342773	29.4045175856924	15.620168984558
lmer_pop	HSM	F	KA	KA15	360.80302393966	314.230498342773	27.9629125530102	9.96891724843514
lmer_pop	HSM	F	KA	KA17	355.06802393966	355.815498342773	28.1078062012547	20.4043446134922
lmer_pop	HSM	F	KA	KA18	392.15402393966	371.285498342773	28.967045024429	12.1306962333638
lmer_pop	HSM	F	KA	KA23	404.18502393966	376.869498342773	28.5194859429004	12.26627959514
lmer_pop	HSM	F	KA	KA24	329.75802393966	366.327498342773	33.225580844393	16.5442811903735
lmer_pop	HSM	F	KA	KA28	383.52002393966	375.225498342773	28.7515353059153	14.860779794686
lmer_pop	HSM	F	KA	KA29	314.91602393966	381.798498342773	27.5479174793177	11.0293927351486
lmer_pop	HSM	F	KA	KA3	391.12802393966	366.379498342773	30.5790034737448	10.8908082393433
lmer_pop	HSM	F	KA	KA5	402.13402393966	370.298498342773	29.7196922838594	10.3754371525323
lmer_pop	HSM	F	KA	KA7	398.86302393966	360.015498342773	41.3094890969048	11.5491263351886
lmer_pop	HSM	F	KA	KA9	375.12302393966	340.463498342773	31.1519351316623	13.9699396958665
lmer_pop	HSM	F	MA	MA12	394.520620581849	369.463610507652	28.9360772589662	12.0058141625101
lmer_pop	HSM	F	MA	MA16	414.727620581849	364.603610507652	31.6620078822689	11.4212388428195
lmer_pop	HSM	F	MA	MA19	438.376620581849	370.781610507652	35.0260369316436	10.5946532602407
lmer_pop	HSM	F	MA	MA20	442.427620581849	373.537610507652	38.1094367202778	11.5204453778805
lmer_pop	HSM	F	MA	MA21	301.897620581849	388.067610507652	28.21209418205	10.5871237219903
lmer_pop	HSM	F	MA	MA23	446.228620581849	387.771610507652	36.8694282995663	14.434248913772
lmer_pop	HSM	F	MA	MA26	458.325620581849	359.944610507652	31.9859491360951	9.97962187183107
lmer_pop	HSM	F	MA	MA3	395.629620581849	369.769610507652	44.5216216139626	15.5247690064854
lmer_pop	HSM	F	MA	MA30	472.755620581849	355.129610507652	30.109773797504	10.7373030927104
lmer_pop	HSM	F	MA	MA33	353.931620581849	347.494610507652	28.3169125812978	10.8875075983776
lmer_pop	HSM	F	MA	MA5	426.086620581849	373.447610507652	35.867207950116	13.3946176393628
