Model	Trait	Sex	Population	Line	Value_re_Parsch	Value_re_Vieira	SE_re_Parsch	SE_re_Vieira
lmer_pop	HSM	F	RE	RE8	59.725	-7.552	14.349	12.607
lmer_pop	HSM	F	UM	UM13	-30.729	11.535	13.209	9.044
lmer_pop	HSM	F	UM	UM17	7	-17.118	15.807	7.839
lmer_pop	HSM	F	UM	UM18	35.325	4.047	30.679	15.404
lmer_pop	HSM	F	UM	UM2	-47.924	-2.659	36.681	11.79
lmer_pop	HSM	F	UM	UM20	-17.413	11.871	14.902	14.872
lmer_pop	HSM	F	UM	UM21	-50.784	10.977	12.977	10.393
lmer_pop	HSM	F	UM	UM23	-48.301	11.433	36.696	13.235
lmer_pop	HSM	F	UM	UM25	12.925	-10.975	36.696	8.185
lmer_pop	HSM	F	UM	UM26	41.77	17.804	24.404	8.744
lmer_pop	HSM	F	UM	UM28	2.041	-6.046	16.04	7.958
lmer_pop	HSM	F	UM	UM29	4.364	-26.095	18.819	8.656
lmer_pop	HSM	F	UM	UM4	24.946	4.311	21.003	9.565
lmer_pop	HSM	F	UM	UM5	24.943	10.148	22.584	10.626
lmer_pop	HSM	F	UM	UM7	17.769	7.056	15.82	17.469
lmer_pop	HSM	F	UM	UM9	24.067	29.818	17.581	12.068
lmer_pop	HSM	F	VA	VA1	-54.413	-6.831	12.857	7.705
lmer_pop	HSM	F	VA	VA18	6.706	12.976	30.658	7.903
lmer_pop	HSM	F	VA	VA22	10.914	-3.644	19.354	8.087
lmer_pop	HSM	F	VA	VA26	37.064	21.818	24.386	8.01
lmer_pop	HSM	F	VA	VA30	-4.883	-22.173	18.779	7.658
lmer_pop	HSM	F	VA	VA34	-19.178	14.578	14.182	10.797
lmer_pop	HSM	F	VA	VA47	-24.894	-2.35	36.696	13.965
lmer_pop	HSM	F	VA	VA48	37.142	8.872	33.254	8.673
lmer_pop	HSM	F	VA	VA55	33.86	-35.376	28.625	7.601
lmer_pop	HSM	F	VA	VA57	-11.156	11.645	15.56	8.078
lmer_pop	HSM	F	VA	VA6	-2.728	-13.654	13.727	8.622
lmer_pop	HSM	F	VA	VA66	42.591	29.587	17.217	11.008
lmer_pop	HSM	F	VA	VA67	-48.091	-4.096	25.557	8.979
lmer_pop	HSM	F	VA	VA71	37.444	18.777	36.696	8.535
lmer_pop	HSM	F	VA	VA9	-40.377	15.314	13.448	8.475
lmer_pop	HSM	F	YE	YE11	-90.143	-11.991	12.642	8.573
lmer_pop	HSM	F	YE	YE13	40.485	-1.622	12.849	8.048
lmer_pop	HSM	F	YE	YE15	3.346	16.596	13.991	11.586
lmer_pop	HSM	F	YE	YE19	60.096	3.708	18.359	10.205
lmer_pop	HSM	F	YE	YE21	62.905	13.017	23.37	18.395
lmer_pop	HSM	F	YE	YE22	-24.76	-26.796	15.146	8.104
