"","Supervisor.PI","Batch","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"383","Fricke","7","MU","MU4",113.666666666667,74.7279510402009,153,0,174,30.5075582620293,0.657430654312618,0
"384","Fricke","7","MU","MU8",70.375,68.483444297561,68.5,0,180,24.2125539309083,0.973121766217563,0
"385","Fricke","7","MU","MU9",35.5,26.4386081328046,39,0,64,13.2193040664023,0.744749524867734,39
"386","Fricke","7","RE","RE12",14.75,11.5289490703475,15.5,0,28,5.76447453517375,0.781623665786272,0
"387","Fricke","7","RE","RE4",32.6666666666667,56.5803263805833,0,0,98,32.6666666666667,1.73205080756888,0
"388","Fricke","7","RE","RE6",114.5,16.6232768530556,111.5,100,135,8.31163842652779,0.145181457231926,100
"389","Fricke","7","UM","UM20",28.4285714285714,26.918748998032,41,0,54,10.1743307791088,0.946890668272482,0
"390","Fricke","7","UM","UM8",109.8,67.6882559976249,133,24,197,30.2711083378194,0.61646863385815,133
"391","Fricke","7","VA","VA11",29.2,8.19756061276768,28,23,43,3.66606055596467,0.280738377149578,23
"392","Fricke","7","VA","VA48",87.8571428571429,16.2627239562193,90,69,108,6.14673188980698,0.18510417511144,105
"393","Fricke","7","YE","YE11",80.6666666666667,36.1155552820849,84,43,115,20.8513255640446,0.447713495232458,43
"394","Fricke","7","YE","YE21",35.875,51.5459226598685,4.5,0,137,18.2242357276552,1.43682014382909,0
"395","Fricke","7","YE","YE23",84.6666666666667,44.5765259600461,104.5,0,120,18.1982905180068,0.526494401102907,0
"396","Fricke","7","YE","YE33",38.5,54.4472221513642,38.5,0,77,38.5,1.41421356237309,0
"397","Fricke","7","YE","YE51",61.5,5,62,55,67,2.5,0.0813008130081301,63
"398","Fricke","8","MU","MU14",31.5,3.53553390593274,31.5,29,34,2.5,0.112239171616912,29
"399","Fricke","8","MU","MU9",90.6666666666667,27.1538824725551,76,74,122,15.6773013550731,0.29949135080024,122
"400","Fricke","8","UM","UM21",60.5,4.94974746830583,60.5,57,64,3.5,0.0818140077405923,64
"401","Fricke","8","VA","VA67",75.2,42.192416380198,65,25,124,18.8690222322197,0.561069366757952,49
"402","Fricke","8","YE","YE26",15.5,4.94974746830583,15.5,12,19,3.5,0.319338546342312,19
