"","Supervisor.PI","Batch","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"1","Billeter","1","AK",96.64,66.9428400830428,88.5,0,278,6.69428400830428,0.692703229336121,0
"2","Billeter","1","GI",73.6708860759494,48.9347345356711,69,0,227,5.50558777611104,0.664234369126807,0
"3","Billeter","1","KA",109.792079207921,65.6995154977087,113,0,270,6.53734612989977,0.598399410701468,0
"4","Billeter","1","MA",99.3333333333333,67.6080817149717,88,0,306,7.24834718629591,0.680618272298373,0
"5","Billeter","1","MU",94.3595505617977,61.9641111654398,93,0,250,6.56818264718446,0.656680863744242,0
"6","Billeter","1","RE",68.9014084507042,51.633642114303,66,0,221,6.12778594070005,0.74938442152811,0
"7","Billeter","1","UM",102.826666666667,68.9945891598271,104,0,281,7.96680892481076,0.670979536694377,0
"8","Billeter","1","VA",85.7714285714286,56.6375550086922,88,0,232,5.52725940646093,0.660331254265232,0
"9","Billeter","1","YE",64.8877551020408,61.4259897734725,46,0,265,6.20496198713113,0.946649944613981,0
"10","Fricke","1","AK",72.2222222222222,48.2228622589374,65,16,171,16.0742874196458,0.667701169739133,65
"11","Fricke","1","GI",40.5,40.9377576327771,24,0,104,16.7127695690052,1.01080883043894,0
"12","Fricke","1","KA",19.4,20.1444781515928,18,0,45,9.00888450364416,1.03837516245324,0
"13","Fricke","1","MA",67,55.7415912941136,75,0,161,13.5193216850377,0.831964049165875,0
"14","Fricke","1","MU",62,NA,62,62,62,NA,NA,62
"15","Fricke","1","RE",60.8333333333333,49.6017472810518,58.5,0,143,14.3187910724955,0.815371188181674,0
"16","Fricke","1","UM",63.75,50.0113320491799,57.5,0,180,12.502833012295,0.784491483124391,0
"17","Fricke","1","VA",91,38.19249489974,97,14,143,12.0775273407543,0.419697746150989,103
"18","Fricke","1","YE",41.8095238095238,49.9385813250828,22,0,142,10.8974918581381,1.19443076062271,0
"19","Fricke","2","AK",71.9285714285714,56.3525499876438,68,0,156,15.0608524946297,0.783451539053637,0
"20","Fricke","2","GI",54,37.0331546786733,57,0,106,10.6905509113366,0.685799160716173,0
