"Lab","Trait","Sex","Model","Predictor","P"
"Vieira","CCRT","F","coxme","pop",0
"Vieira","CCRT","M","coxme","pop",0
"Mensch","CCRT","F","coxme","pop",0
"Mensch","CCRT","M","coxme","pop",0
"Parsch","HSM","F","coxme","pop",0
"Parsch","HSM","M","coxme","pop",0
"Vieira","HSM","F","coxme","pop",0
"Vieira","HSM","M","coxme","pop",0
"Flatt","LS_P","F","coxme","pop",0
"Flatt","LS_P","M","coxme","pop",0
"Parsch","LS_L","F","coxme","pop",0
"Parsch","LS_L","M","coxme","pop",0
"Pasyukova","LS_L","F","coxme","pop",0
"Pasyukova","LS_L","M","coxme","pop",0
"Gonzalez","SR","F","coxme","pop",0
"Gonzalez","SR","M","coxme","pop",0
"Onder","SR","F","coxme","pop",0
"Onder","SR","M","coxme","pop",0
"Pasyukova","SR","F","coxme","pop",0
"Pasyukova","SR","M","coxme","pop",0
