"Country","Population","Line","PC1_F9maxP","PC2_F9maxP","Longitude","Latitude","Altitude","Location","PC1_clim","PC2_clim"
"Turkey","YE","YE11",-1.06195190385192,-4.45001186134657,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE13",-1.25343445566596,-0.915524356444962,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE14",-2.3596800682965,-2.55336878498446,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE15",0.125202986979307,-2.01690179723655,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE19",-1.35172409458876,-0.752967337577562,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE20",-1.08396579034751,-3.13364418726605,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE21",1.20124393108122,-2.84620546827917,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE22",-1.33276858976728,-0.993737623169087,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE23",-1.06461634848435,-2.68186688250791,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE24",0.424418022951744,-1.75088117226666,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE26",-0.759521107775721,-3.01575825472969,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE27",1.18781875630632,-3.19091705860816,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE33",0.288427652879465,-1.08624037657377,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE40",-1.18922364614097,-0.766269717907381,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE41",-0.79474999001543,-3.20124335907674,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE48",-2.26955724485372,-1.39934241275434,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE49",-1.576154785024,-1.22191291182237,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE51",-1.87216724493047,-2.23689234684741,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE69",-0.570918011855963,-1.3160058202326,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE80",0.189301631772917,-0.667832485146545,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Portugal","RE","RE10",1.09221849613286,-1.64124811623905,-8.41,41.15,175,"Recarei",4.31656451134663,-1.05465914779054
"Portugal","RE","RE11",1.19935622007164,0.553480564186756,-8.41,41.15,175,"Recarei",4.31656451134663,-1.05465914779054
"Portugal","RE","RE12",1.15683963206727,-1.37113823655697,-8.41,41.15,175,"Recarei",4.31656451134663,-1.05465914779054
"Portugal","RE","RE13",1.88179963744972,-0.152981950649703,-8.41,41.15,175,"Recarei",4.31656451134663,-1.05465914779054
"Portugal","RE","RE15",-0.673857924826237,-1.9805566793867,-8.41,41.15,175,"Recarei",4.31656451134663,-1.05465914779054
"Portugal","RE","RE16",1.79970411495068,0.550587442191445,-8.41,41.15,175,"Recarei",4.31656451134663,-1.05465914779054
"Portugal","RE","RE17",1.05462054641699,-1.43944091000379,-8.41,41.15,175,"Recarei",4.31656451134663,-1.05465914779054
"Portugal","RE","RE18",2.1934931693896,-0.737214869219371,-8.41,41.15,175,"Recarei",4.31656451134663,-1.05465914779054
