"Country","Population","Line","PC1_F9","PC2_F9","Longitude","Latitude","Altitude","Location","PC1_clim","PC2_clim"
"Turkey","YE","YE11",-1.10622087805055,-2.44785068495063,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE13",-1.30744891259307,-0.566083866213376,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE14",-2.22209438660567,-2.33561439327557,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE15",0.201122085276759,-1.42571403271674,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE19",-1.60486842894863,-0.361060373942646,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE20",-1.51493058426221,-1.06398692118418,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE21",0.575352859508947,-1.0774766984993,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE22",-1.72439133029318,-0.605384094110702,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE23",-1.36268607418087,-1.9787013354587,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE24",0.284367984542543,-1.81619080877365,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE26",-1.04027876357286,-0.729091175416746,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE27",0.988225116307006,-2.19092181930022,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE33",0.458852085247068,0.583990782941964,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE40",-1.16604070325958,-1.45153379855137,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE41",-0.665090249318525,-1.54490345674043,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE48",-2.66437255204746,-1.5450149718817,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE49",-1.92632701873951,-0.85559734178662,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE51",-1.81953543412148,-1.10943847046263,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE69",-0.388065410139969,-0.27635448634081,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE80",0.00472365131071547,0.505852343296245,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Portugal","RE","RE10",1.30363109943258,-1.9516016497602,-8.41,41.15,175,"Recarei",1.12443102238453,-3.12739625050999
"Portugal","RE","RE11",0.934705650142339,-1.02436578377751,-8.41,41.15,175,"Recarei",1.12443102238453,-3.12739625050999
"Portugal","RE","RE12",0.794794625258203,0.268494637340435,-8.41,41.15,175,"Recarei",1.12443102238453,-3.12739625050999
"Portugal","RE","RE13",1.79429478086278,0.828816151609338,-8.41,41.15,175,"Recarei",1.12443102238453,-3.12739625050999
"Portugal","RE","RE15",-0.357998107144169,-1.42945882323163,-8.41,41.15,175,"Recarei",1.12443102238453,-3.12739625050999
"Portugal","RE","RE16",2.07298014818316,0.107683411717207,-8.41,41.15,175,"Recarei",1.12443102238453,-3.12739625050999
"Portugal","RE","RE17",0.939622900927389,-1.27973616832092,-8.41,41.15,175,"Recarei",1.12443102238453,-3.12739625050999
"Portugal","RE","RE18",2.01346308697386,-0.716974652664164,-8.41,41.15,175,"Recarei",1.12443102238453,-3.12739625050999
"Portugal","RE","RE2",3.68761755272862,-0.22044932228008,-8.41,41.15,175,"Recarei",1.12443102238453,-3.12739625050999
"Portugal","RE","RE3",1.96280199562783,-1.08977087636145,-8.41,41.15,175,"Recarei",1.12443102238453,-3.12739625050999
"Portugal","RE","RE4",2.282363318218,-1.80791055788286,-8.41,41.15,175,"Recarei",1.12443102238453,-3.12739625050999
"Portugal","RE","RE5",0.684422634809722,-0.56414038706769,-8.41,41.15,175,"Recarei",1.12443102238453,-3.12739625050999
"Portugal","RE","RE6",1.98758795094491,-1.18007259532195,-8.41,41.15,175,"Recarei",1.12443102238453,-3.12739625050999
"Portugal","RE","RE7",3.89112899810991,0.236663256395254,-8.41,41.15,175,"Recarei",1.12443102238453,-3.12739625050999
"Spain","GI","GI1",0.621621850532432,-0.726404897768709,0.62,41.618,173,"Gimenells",5.49169800266412,0.365768552651836
"Spain","GI","GI10",0.715033478233306,-0.688826192978514,0.62,41.618,173,"Gimenells",5.49169800266412,0.365768552651836
"Spain","GI","GI11",-1.23213515976893,0.0194156006223173,0.62,41.618,173,"Gimenells",5.49169800266412,0.365768552651836
"Spain","GI","GI12",-2.06100685161688,-1.08320833042016,0.62,41.618,173,"Gimenells",5.49169800266412,0.365768552651836
"Spain","GI","GI13",0.185824538232001,-0.390032932765401,0.62,41.618,173,"Gimenells",5.49169800266412,0.365768552651836
"Spain","GI","GI14",1.60818579186232,1.26054295160582,0.62,41.618,173,"Gimenells",5.49169800266412,0.365768552651836
"Spain","GI","GI15",-0.141987838529023,0.853260651173453,0.62,41.618,173,"Gimenells",5.49169800266412,0.365768552651836
"Spain","GI","GI2",-1.22728297083305,0.488787324051244,0.62,41.618,173,"Gimenells",5.49169800266412,0.365768552651836
"Spain","GI","GI3",-1.98477008156867,0.106468036895138,0.62,41.618,173,"Gimenells",5.49169800266412,0.365768552651836
"Spain","GI","GI4",-1.2996704545937,-0.819554028264117,0.62,41.618,173,"Gimenells",5.49169800266412,0.365768552651836
"Spain","GI","GI5",0.704689738356914,-0.520566655950335,0.62,41.618,173,"Gimenells",5.49169800266412,0.365768552651836
"Spain","GI","GI6",-1.70451168316812,1.43188854786776,0.62,41.618,173,"Gimenells",5.49169800266412,0.365768552651836
"Spain","GI","GI7",-1.65862906709925,-0.534309230163952,0.62,41.618,173,"Gimenells",5.49169800266412,0.365768552651836
"Spain","GI","GI8",-1.86142591386639,0.00583314661488141,0.62,41.618,173,"Gimenells",5.49169800266412,0.365768552651836
"Spain","GI","GI9",-1.31973337637351,1.23056140771888,0.62,41.618,173,"Gimenells",5.49169800266412,0.365768552651836
"Germany","MU","MU1",-1.44806781770169,0.407312838832159,11.61,48.18,520,"Munich",-3.24831761806737,0.432311477150378
"Germany","MU","MU10",-0.674557857413884,-0.891155884989426,11.61,48.18,520,"Munich",-3.24831761806737,0.432311477150378
"Germany","MU","MU11",-1.6782923470927,1.65133116016292,11.61,48.18,520,"Munich",-3.24831761806737,0.432311477150378
"Germany","MU","MU12",1.54521328605792,0.578079790552686,11.61,48.18,520,"Munich",-3.24831761806737,0.432311477150378
"Germany","MU","MU13",-0.954334878110625,-1.48422612262043,11.61,48.18,520,"Munich",-3.24831761806737,0.432311477150378
"Germany","MU","MU14",0.951178138400657,1.15851209401837,11.61,48.18,520,"Munich",-3.24831761806737,0.432311477150378
"Germany","MU","MU15",1.41225305594535,2.44820302278433,11.61,48.18,520,"Munich",-3.24831761806737,0.432311477150378
"Germany","MU","MU16",-0.467952836624294,-1.42913560871779,11.61,48.18,520,"Munich",-3.24831761806737,0.432311477150378
"Germany","MU","MU17",0.94096625767637,0.736730468136486,11.61,48.18,520,"Munich",-3.24831761806737,0.432311477150378
"Germany","MU","MU18",-0.561965491593325,0.824522781856835,11.61,48.18,520,"Munich",-3.24831761806737,0.432311477150378
"Germany","MU","MU19",2.79208697512342,-0.598153770427778,11.61,48.18,520,"Munich",-3.24831761806737,0.432311477150378
"Germany","MU","MU2",-0.48306661655234,0.371393185333093,11.61,48.18,520,"Munich",-3.24831761806737,0.432311477150378
"Germany","MU","MU20",1.62266774827067,0.627183640413565,11.61,48.18,520,"Munich",-3.24831761806737,0.432311477150378
"Germany","MU","MU3",0.276936912815896,-0.0465786628348301,11.61,48.18,520,"Munich",-3.24831761806737,0.432311477150378
"Germany","MU","MU4",1.25771299034376,-0.511065598889063,11.61,48.18,520,"Munich",-3.24831761806737,0.432311477150378
"Germany","MU","MU5",1.7254007236874,0.446699424263185,11.61,48.18,520,"Munich",-3.24831761806737,0.432311477150378
"Germany","MU","MU6",-1.02975059655018,0.294712448650554,11.61,48.18,520,"Munich",-3.24831761806737,0.432311477150378
"Germany","MU","MU7",-1.08553583556289,-0.47470196044244,11.61,48.18,520,"Munich",-3.24831761806737,0.432311477150378
"Germany","MU","MU8",0.480949653209669,0.701519915474052,11.61,48.18,520,"Munich",-3.24831761806737,0.432311477150378
"Germany","MU","MU9",-1.86440658932046,-0.892676225680963,11.61,48.18,520,"Munich",-3.24831761806737,0.432311477150378
"Austria","MA","MA12",1.04856157718154,-0.027527388240376,15.56,48.375,572,"Mauternbach",-2.95336927863757,-1.50970722150847
"Austria","MA","MA13",0.643262614810387,0.855285399980613,15.56,48.375,572,"Mauternbach",-2.95336927863757,-1.50970722150847
"Austria","MA","MA16",-1.9125104014185,0.555603163582775,15.56,48.375,572,"Mauternbach",-2.95336927863757,-1.50970722150847
"Austria","MA","MA18",1.99877970410728,1.88515809756209,15.56,48.375,572,"Mauternbach",-2.95336927863757,-1.50970722150847
"Austria","MA","MA19",-1.08885107285937,0.254223379674905,15.56,48.375,572,"Mauternbach",-2.95336927863757,-1.50970722150847
"Austria","MA","MA20",-1.09444060423734,-0.098364307184347,15.56,48.375,572,"Mauternbach",-2.95336927863757,-1.50970722150847
"Austria","MA","MA21",2.09205945108425,0.276607115914159,15.56,48.375,572,"Mauternbach",-2.95336927863757,-1.50970722150847
"Austria","MA","MA23",1.42064533741105,-0.583579829072318,15.56,48.375,572,"Mauternbach",-2.95336927863757,-1.50970722150847
"Austria","MA","MA26",0.820464121411345,-1.82136661465751,15.56,48.375,572,"Mauternbach",-2.95336927863757,-1.50970722150847
"Austria","MA","MA27",0.780803924484089,-1.19300381640588,15.56,48.375,572,"Mauternbach",-2.95336927863757,-1.50970722150847
"Austria","MA","MA28",2.46210218560199,-0.344302970002116,15.56,48.375,572,"Mauternbach",-2.95336927863757,-1.50970722150847
"Austria","MA","MA3",-0.563242933976303,-1.15066670206034,15.56,48.375,572,"Mauternbach",-2.95336927863757,-1.50970722150847
"Austria","MA","MA30",1.47614458004741,-0.518868692827512,15.56,48.375,572,"Mauternbach",-2.95336927863757,-1.50970722150847
"Austria","MA","MA31",1.41849766055242,-1.21913154313299,15.56,48.375,572,"Mauternbach",-2.95336927863757,-1.50970722150847
"Austria","MA","MA32",2.47208087177014,0.400606873261427,15.56,48.375,572,"Mauternbach",-2.95336927863757,-1.50970722150847
"Austria","MA","MA33",0.241479556508871,-1.93750261306626,15.56,48.375,572,"Mauternbach",-2.95336927863757,-1.50970722150847
"Austria","MA","MA5",-0.0323548800496347,-0.243423865764941,15.56,48.375,572,"Mauternbach",-2.95336927863757,-1.50970722150847
"Austria","MA","MA6",0.123802283393002,-1.77109767331415,15.56,48.375,572,"Mauternbach",-2.95336927863757,-1.50970722150847
"Austria","MA","MA7",0.0914327766425562,-1.18701259876489,15.56,48.375,572,"Mauternbach",-2.95336927863757,-1.50970722150847
"Austria","MA","MA9",0.179780235879215,-0.894986664844529,15.56,48.375,572,"Mauternbach",-2.95336927863757,-1.50970722150847
"Ukraine","UM","UM13",-0.882623968351314,-0.866724955333885,30.206,48.753,214,"Uman",3.02435106281496,1.08768756501898
