"Country","Population","Line","PC1_F9max","PC2_F9max","Longitude","Latitude","Altitude","Location","PC1_clim","PC2_clim"
"Turkey","YE","YE11",-1.3797176169181,-2.52516753594999,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE13",-1.31451186274721,-0.677184486532718,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE14",-2.5153301468643,-2.66603252424991,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE15",-0.00891442653311404,-1.49682616880268,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE19",-1.40399079582594,-0.47283334666987,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE20",-1.31031236546753,-1.86686831997386,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE21",0.985517025868005,-1.86354004582175,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE22",-1.41164028524197,-0.19914341316596,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE23",-1.25314939285209,-1.72326611922599,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE24",0.297017171859979,-1.20151658871326,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE26",-0.982797457598072,-1.54403666801442,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE27",0.970403693481998,-2.69764098240448,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE33",0.194255556402009,0.123412408270965,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE40",-1.2377209999424,-0.430369654827626,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE41",-1.01711396248369,-2.03384059620289,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE48",-2.35821376747136,-1.34071241168264,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE49",-1.654134893842,-1.48993501285939,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE51",-2.02757994304926,-1.45910872703022,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE69",-0.658909779833064,-0.777141312038024,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Turkey","YE","YE80",0.126760998818139,0.327787440634908,32.26,40.231,680,"Yesiloz",0.259209807748969,-3.26775968663502
"Portugal","RE","RE10",1.00548445039923,-2.09999481600237,-8.41,41.15,175,"Recarei",1.12443102238453,-3.12739625050999
