"Country","Population","Line","PC1_M9","PC2_M9","Longitude","Latitude","Altitude","Location","PC1_clim","PC2_clim"
"Turkey","YE","YE11",-4.20596395614811,2.56987019051369,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE13",-1.40565406683492,-0.417131440388839,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE14",-2.1552043826511,-1.0694641033481,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE15",-2.62596659487107,1.11494059128542,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE19",-4.15707413483252,0.329311056215715,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE20",-2.71238311099423,0.0107018248548697,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE22",-3.48309237609085,1.22383959875054,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE26",-1.49749244483766,0.621876674776446,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE27",-0.254882619840981,2.39384323769518,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE33",-1.59079288256994,2.08902462800719,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE40",-2.44614368819136,2.40534172968852,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE48",-2.58595833755285,0.571192738857634,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE49",-2.47111077686297,-0.094872642608314,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE51",-3.5435422683802,1.0820176450353,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
"Turkey","YE","YE80",-0.348373648180119,0.0274236372340939,32.26,40.231,680,"Yesiloz",0.339505308647265,3.19878257273457
