"Supervisor.PI","Diet","Batch","Population","Line","Sex","Individual","PercT8","PercT9","PercT10","TotalPerc","Country","Latitude","Longitude","Altitude"
"Schmidt","NS",1,"AK","AK1","F",2,4,8,6,18,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK1","F",9,3,7,3,13,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK1","F",1,2,6,3,11,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK1","F",10,2,5,4,11,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK1","F",3,2,4,1,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK1","F",6,2,4,1,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK1","F",8,2,4,1,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK1","F",5,1,3,1,5,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK1","F",4,1,2,0,3,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK1","F",7,1,1,0,2,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK10","F",4,3,7,8,18,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK10","F",5,2,5,4,11,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK10","F",10,2,5,4,11,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK10","F",1,3,4,3,10,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK10","F",2,3,4,3,10,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK10","F",9,1,4,4,9,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK10","F",3,2,5,1,8,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK10","F",7,2,4,1,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK10","F",8,3,4,0,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK10","F",6,2,3,0,5,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK11","F",5,2,3,5,10,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK11","F",7,1,3,5,9,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK11","F",2,3,4,0,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK11","F",3,1,4,1,6,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK11","F",4,1,3,2,6,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK11","F",6,2,4,0,6,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK11","F",10,2,3,1,6,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK11","F",1,2,3,0,5,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK11","F",8,2,2,1,5,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK11","F",9,1,2,0,3,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK12","F",1,5,10,9,24,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK12","F",3,3,6,7,16,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK12","F",2,3,6,2,11,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK12","F",4,3,3,3,9,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK12","F",9,2,4,3,9,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK12","F",5,2,3,2,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK12","F",7,2,4,1,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK12","F",10,1,2,3,6,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK12","F",8,1,2,2,5,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK12","F",6,1,2,0,3,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK13","F",6,3,7,7,17,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK13","F",4,3,8,3,14,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK13","F",2,4,6,2,12,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK13","F",5,4,7,1,12,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK13","F",10,3,5,1,9,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK13","F",7,3,4,1,8,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK13","F",8,3,5,0,8,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK13","F",9,3,5,0,8,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK13","F",1,3,4,0,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK13","F",3,3,3,1,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK14","F",9,2,7,7,16,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK14","F",10,2,5,4,11,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK14","F",4,1,4,5,10,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK14","F",2,1,5,3,9,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK14","F",1,1,5,2,8,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK14","F",6,1,3,2,6,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK14","F",8,1,3,2,6,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK14","F",5,1,4,0,5,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK14","F",7,1,2,2,5,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK14","F",3,1,2,0,3,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK15","F",10,3,4,4,11,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK15","F",2,3,3,4,10,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK15","F",6,2,4,3,9,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK15","F",9,3,4,2,9,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK15","F",1,3,4,0,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK15","F",3,3,4,0,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK15","F",4,3,4,0,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK15","F",7,2,3,1,6,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK15","F",8,1,4,1,6,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK15","F",5,1,3,0,4,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK16","F",1,5,6,4,15,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK16","F",6,3,6,5,14,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK16","F",8,4,4,4,12,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK16","F",9,2,4,5,11,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK16","F",10,3,5,3,11,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK16","F",5,2,4,4,10,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK16","F",7,3,4,3,10,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK16","F",4,3,4,2,9,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK16","F",2,0,4,4,8,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK16","F",3,3,4,1,8,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK17","F",10,3,4,3,10,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK17","F",4,3,3,1,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK17","F",8,3,3,1,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK17","F",2,2,3,1,6,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK17","F",5,2,3,1,6,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK17","F",3,2,2,1,5,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK17","F",6,1,4,0,5,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK17","F",7,2,3,0,5,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK17","F",1,1,2,1,4,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK17","F",9,2,2,0,4,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK18","F",10,1,9,3,13,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK18","F",4,1,5,3,9,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK18","F",3,1,4,3,8,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK18","F",6,1,6,1,8,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK18","F",5,1,3,1,5,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK18","F",1,1,2,0,3,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK18","F",2,1,2,0,3,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK18","F",8,1,2,0,3,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK18","F",9,1,2,0,3,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK18","F",7,1,1,0,2,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK2","F",9,2,6,5,13,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK2","F",8,2,5,5,12,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK2","F",3,1,5,4,10,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK2","F",7,2,6,2,10,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK2","F",10,3,6,1,10,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK2","F",1,1,4,3,8,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK2","F",2,2,3,3,8,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK2","F",6,2,5,1,8,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK2","F",5,2,4,0,6,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK2","F",4,2,3,0,5,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK20","F",2,1,5,7,13,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK20","F",10,2,6,3,11,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK20","F",6,2,4,4,10,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK20","F",3,2,5,1,8,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK20","F",1,2,4,1,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK20","F",8,2,5,0,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK20","F",7,3,3,0,6,"Finland",61.1,23.52,88
