"Supervisor.PI","Diet","Batch","Population","Line","Sex","Individual","PercT8","PercT9","PercT10","TotalPerc","Country","Latitude","Longitude","Altitude"
"Schmidt","NS",1,"AK","AK20","F",4,1,4,0,5,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK20","F",9,1,4,0,5,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK20","F",5,1,3,0,4,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK21","F",3,5,9,3,17,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK21","F",4,4,9,4,17,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK21","F",10,4,9,4,17,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK21","F",1,5,9,2,16,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK21","F",2,3,7,4,14,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK21","F",5,4,9,0,13,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK21","F",7,3,8,1,12,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK21","F",8,4,8,0,12,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK21","F",9,3,7,1,11,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK21","F",6,3,7,0,10,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK3","F",8,2,6,5,13,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK3","F",6,4,6,2,12,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK3","F",7,2,5,3,10,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK3","F",5,2,6,0,8,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK3","F",9,2,4,2,8,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK3","F",1,3,4,0,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK3","F",3,2,5,0,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK3","F",10,2,4,1,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK3","F",2,2,3,1,6,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK3","F",4,2,4,0,6,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK4","F",3,4,9,8,21,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK4","F",4,3,9,9,21,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK4","F",10,3,6,7,16,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK4","F",2,2,7,4,13,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK4","F",9,2,6,5,13,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK4","F",1,4,5,3,12,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK4","F",6,3,3,1,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK4","F",5,2,4,0,6,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK4","F",7,1,5,0,6,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK4","F",8,3,2,0,5,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK5","F",6,3,7,3,13,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK5","F",9,4,5,3,12,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK5","F",2,2,3,1,6,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK5","F",4,1,2,3,6,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK5","F",5,1,2,2,5,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK5","F",7,1,2,2,5,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK5","F",8,1,3,0,4,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK5","F",3,1,2,0,3,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK5","F",1,1,1,0,2,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK5","F",10,1,1,0,2,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK6","F",5,4,9,9,22,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK6","F",1,4,7,7,18,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK6","F",7,3,7,8,18,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK6","F",2,3,8,6,17,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK6","F",9,3,7,4,14,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK6","F",10,2,6,6,14,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK6","F",4,3,6,4,13,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK6","F",6,3,6,4,13,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK6","F",8,3,7,3,13,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK6","F",3,3,5,2,10,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK7","F",6,4,8,4,16,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK7","F",3,3,7,1,11,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK7","F",5,1,5,5,11,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK7","F",2,1,4,1,6,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK7","F",1,1,3,1,5,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK7","F",7,2,3,0,5,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK7","F",9,2,3,0,5,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK7","F",10,2,3,0,5,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK7","F",4,1,3,0,4,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK7","F",8,1,2,0,3,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK8","F",8,3,7,6,16,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK8","F",3,3,6,3,12,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK8","F",7,3,5,1,9,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK8","F",2,2,4,1,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK8","F",4,3,4,0,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK8","F",6,2,5,0,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK8","F",10,3,4,0,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK8","F",1,2,3,1,6,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK8","F",9,2,3,0,5,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK8","F",5,0,0,0,0,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK9","F",3,4,5,5,14,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK9","F",2,4,6,3,13,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK9","F",8,3,7,3,13,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK9","F",6,4,6,2,12,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK9","F",10,3,7,1,11,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK9","F",7,3,4,3,10,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK9","F",5,3,5,1,9,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK9","F",9,2,5,2,9,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK9","F",1,3,4,0,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"AK","AK9","F",4,3,4,0,7,"Finland",61.1,23.52,88
"Schmidt","NS",1,"GI","GI1","F",6,1,3,2,6,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI1","F",10,2,3,0,5,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI1","F",7,1,3,0,4,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI1","F",8,1,2,1,4,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI1","F",1,1,2,0,3,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI1","F",2,1,2,0,3,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI1","F",3,1,2,0,3,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI1","F",5,1,2,0,3,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI1","F",9,1,2,0,3,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI1","F",4,0,0,0,0,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI10","F",6,3,3,0,6,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI10","F",3,3,2,0,5,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI10","F",7,3,2,0,5,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI10","F",4,2,2,0,4,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI10","F",1,2,0,0,2,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI10","F",2,2,0,0,2,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI10","F",5,2,0,0,2,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI10","F",8,1,1,0,2,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI10","F",9,2,0,0,2,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI10","F",10,2,0,0,2,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI11","F",5,3,8,0,11,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI11","F",7,2,4,2,8,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI11","F",9,3,2,0,5,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI11","F",2,2,2,0,4,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI11","F",3,2,2,0,4,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI11","F",1,2,1,0,3,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI11","F",4,1,2,0,3,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI11","F",6,1,1,0,2,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI11","F",10,1,1,0,2,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI11","F",8,1,0,0,1,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI12","F",6,4,8,4,16,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI12","F",7,3,7,1,11,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI12","F",8,2,6,3,11,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI12","F",5,1,5,4,10,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI12","F",3,1,4,4,9,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI12","F",1,3,4,1,8,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI12","F",2,2,4,2,8,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI12","F",9,1,3,3,7,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI12","F",10,2,3,0,5,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI12","F",4,1,2,0,3,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI13","F",1,3,4,5,12,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI13","F",4,3,4,4,11,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI13","F",2,2,4,3,9,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI13","F",5,2,4,2,8,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI13","F",8,1,4,3,8,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI13","F",9,3,3,2,8,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI13","F",3,2,3,1,6,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI13","F",6,1,4,0,5,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI13","F",7,2,0,0,2,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI13","F",10,1,0,0,1,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI14","F",4,2,3,1,6,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI14","F",9,1,3,2,6,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI14","F",7,2,3,0,5,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI14","F",8,1,3,1,5,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI14","F",10,1,2,2,5,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI14","F",3,2,2,0,4,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI14","F",5,1,2,1,4,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI14","F",6,1,2,1,4,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI14","F",1,1,1,1,3,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI14","F",2,1,1,1,3,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI15","F",6,5,9,8,22,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI15","F",8,4,9,8,21,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI15","F",3,4,9,7,20,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI15","F",5,3,9,7,19,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI15","F",9,3,10,6,19,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI15","F",1,2,8,8,18,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI15","F",2,3,8,6,17,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI15","F",7,3,9,4,16,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI15","F",10,3,8,5,16,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI15","F",4,2,8,4,14,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI2","F",4,3,10,7,20,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI2","F",9,3,8,4,15,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI2","F",6,3,7,4,14,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI2","F",7,1,5,4,10,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI2","F",5,1,4,3,8,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI2","F",8,1,5,2,8,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI2","F",1,3,3,1,7,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI2","F",3,3,4,0,7,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI2","F",10,3,4,0,7,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI2","F",2,3,2,0,5,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI3","F",4,1,6,0,7,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI3","F",1,2,4,0,6,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI3","F",2,1,5,0,6,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI3","F",3,1,3,0,4,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI3","F",6,1,2,0,3,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI3","F",5,1,0,0,1,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI5","F",1,3,9,9,21,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI5","F",10,3,9,9,21,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI5","F",3,3,9,8,20,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI5","F",4,4,8,7,19,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI5","F",7,3,7,8,18,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI5","F",9,2,8,8,18,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI5","F",2,1,7,8,16,"Spain",41.618,0.62,173
"Schmidt","NS",1,"GI","GI5","F",6,2,6,6,14,"Spain",41.618,0.62,173
