"Supervisor.PI","Diet","Batch","Population","Sex","ReplicateCageOld","ReplicateCage","Individual","Censor","LSP_AgeAtDeath_days","Country","Latitude","Longitude","Altitude"
"Flatt","S",1,"AK","F",1,"Flatt_AK_F_1",41,0,66,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",1,"Flatt_AK_F_1",42,0,68,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",1,"Flatt_AK_F_1",43,0,68,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",1,"Flatt_AK_F_1",44,0,68,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",1,"Flatt_AK_F_1",45,0,68,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",1,"Flatt_AK_F_1",46,0,68,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",1,"Flatt_AK_F_1",47,1,68,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",1,"Flatt_AK_F_1",48,0,71,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",1,"Flatt_AK_F_1",49,1,71,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",1,"Flatt_AK_F_1",50,1,71,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",1,"Flatt_AK_F_1",51,1,71,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",1,"Flatt_AK_F_1",52,0,75,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",1,"Flatt_AK_F_1",53,0,75,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",1,"Flatt_AK_F_1",54,0,75,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",1,"Flatt_AK_F_1",55,0,78,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",1,"Flatt_AK_F_1",56,0,78,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",1,"Flatt_AK_F_1",57,0,85,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",1,"Flatt_AK_F_1",58,0,89,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",1,"Flatt_AK_F_1",59,0,96,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",1,1,11,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",2,1,13,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",3,0,13,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",4,1,17,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",5,0,26,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",6,1,26,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",7,1,26,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",8,0,31,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",9,0,36,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",10,1,36,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",11,0,38,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",12,0,38,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",13,0,38,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",14,1,38,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",15,0,40,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",16,0,40,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",17,0,43,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",18,0,43,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",19,0,45,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",20,0,47,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",21,1,47,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",22,0,50,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",23,0,50,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",24,0,50,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",25,0,52,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",26,0,52,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",27,0,52,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",28,0,52,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",29,0,52,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",30,0,52,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",31,0,54,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",32,0,61,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",33,0,61,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",34,0,61,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",35,0,61,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",36,0,64,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",2,"Flatt_AK_F_2",37,0,64,"Finland",61.1,23.52,88
