"","Supervisor.PI","Condition","Population","Mean"
"1","Wegener","18_LD_LD","AK",9.17
"2","Wegener","18_LD_LD","GI",9.32
"3","Wegener","18_LD_LD","KA",10.86
"4","Wegener","18_LD_LD","MA",10.16
"5","Wegener","18_LD_LD","MU",9.33
"6","Wegener","18_LD_LD","RE",8.8
"7","Wegener","18_LD_LD","UM",10.87
"8","Wegener","18_LD_LD","VA",9.36
"9","Wegener","18_LD_LD","YE",10.06
