"","Supervisor.PI","Condition","Population","Mean"
"1","Wegener","18_LD_LD","AK",10.6
"2","Wegener","18_LD_LD","GI",25.15
"3","Wegener","18_LD_LD","KA",8.46
"4","Wegener","18_LD_LD","MA",17.78
"5","Wegener","18_LD_LD","MU",14.81
"6","Wegener","18_LD_LD","RE",14.72
"7","Wegener","18_LD_LD","UM",20.97
"8","Wegener","18_LD_LD","VA",11.73
"9","Wegener","18_LD_LD","YE",11.83
