"","Supervisor.PI","Condition","Population","Mean"
"1","Wegener","18_LD_DD","AK",13.16
"2","Wegener","18_LD_DD","GI",10.49
"3","Wegener","18_LD_DD","KA",14.01
"4","Wegener","18_LD_DD","MA",16.79
"5","Wegener","18_LD_DD","MU",10.5
"6","Wegener","18_LD_DD","RE",10.74
"7","Wegener","18_LD_DD","UM",14.64
"8","Wegener","18_LD_DD","VA",10.35
"9","Wegener","18_LD_DD","YE",12.11
