"","Supervisor.PI","Condition","Population","Mean"
"1","Wegener","18_LD_LD","AK",23.78
"2","Wegener","18_LD_LD","GI",24.14
"3","Wegener","18_LD_LD","KA",23.7
"4","Wegener","18_LD_LD","MA",23.54
"5","Wegener","18_LD_LD","MU",23.78
"6","Wegener","18_LD_LD","RE",24.02
"7","Wegener","18_LD_LD","UM",23.72
"8","Wegener","18_LD_LD","VA",24.08
"9","Wegener","18_LD_LD","YE",23.5
