"","Supervisor.PI","Condition","Population","Mean"
"1","Wegener","29_LD_DD","AK",11.74
"2","Wegener","29_LD_DD","GI",12.03
"3","Wegener","29_LD_DD","KA",15.79
"4","Wegener","29_LD_DD","MA",12.91
"5","Wegener","29_LD_DD","MU",13.45
"6","Wegener","29_LD_DD","RE",10.74
"7","Wegener","29_LD_DD","UM",8.22
"8","Wegener","29_LD_DD","VA",28.22
"9","Wegener","29_LD_DD","YE",17.13
