"","Supervisor.PI","Condition","Population","Mean"
"1","Wegener","29_LD_DD","AK",2.79e-12
"2","Wegener","29_LD_DD","GI",2.67e-05
"3","Wegener","29_LD_DD","KA",3.09e-05
"4","Wegener","29_LD_DD","MA",9.44e-05
"5","Wegener","29_LD_DD","MU",1.87e-07
"6","Wegener","29_LD_DD","RE",5.09e-13
"7","Wegener","29_LD_DD","UM",4.59e-07
"8","Wegener","29_LD_DD","VA",1.4e-12
"9","Wegener","29_LD_DD","YE",1.46e-10
