"","Supervisor.PI","Condition","Population","Mean"
"1","Wegener","18_LD_DD","AK",5.26e-24
"2","Wegener","18_LD_DD","GI",6.27e-22
"3","Wegener","18_LD_DD","KA",6.76e-14
"4","Wegener","18_LD_DD","MA",2.92e-09
"5","Wegener","18_LD_DD","MU",4.21e-24
"6","Wegener","18_LD_DD","RE",5.26e-24
"7","Wegener","18_LD_DD","UM",7.54e-19
"8","Wegener","18_LD_DD","VA",1.31e-19
"9","Wegener","18_LD_DD","YE",7.71e-23
