"","Supervisor.PI","Condition","Population","Mean"
"1","Wegener","29_LD_DD","AK",10.17
"2","Wegener","29_LD_DD","GI",12.68
"3","Wegener","29_LD_DD","KA",13.6
"4","Wegener","29_LD_DD","MA",13.45
"5","Wegener","29_LD_DD","MU",11.98
"6","Wegener","29_LD_DD","RE",10.9
"7","Wegener","29_LD_DD","UM",14.15
"8","Wegener","29_LD_DD","VA",10.54
"9","Wegener","29_LD_DD","YE",11.01
