"","Supervisor.PI","Condition","Population","Mean"
"1","Wegener","29_LD_LD","AK",22.56
"2","Wegener","29_LD_LD","GI",22.7
"3","Wegener","29_LD_LD","KA",22.96
"4","Wegener","29_LD_LD","MA",22.8
"5","Wegener","29_LD_LD","MU",8.65
"6","Wegener","29_LD_LD","RE",23.3
"7","Wegener","29_LD_LD","UM",23.2
"8","Wegener","29_LD_LD","VA",24.04
"9","Wegener","29_LD_LD","YE",22.64
