"","Supervisor.PI","Condition","Population","Mean"
"1","Wegener","29_LD_LD","AK",10.06
"2","Wegener","29_LD_LD","GI",11.53
"3","Wegener","29_LD_LD","KA",10.79
"4","Wegener","29_LD_LD","MA",10.05
"5","Wegener","29_LD_LD","MU",24.02
"6","Wegener","29_LD_LD","RE",8.84
"7","Wegener","29_LD_LD","UM",11.03
"8","Wegener","29_LD_LD","VA",9.6
"9","Wegener","29_LD_LD","YE",11.4
