"","Supervisor.PI","Condition","Population","Mean"
"1","Wegener","18_LD_DD","AK",24.44
"2","Wegener","18_LD_DD","GI",24.82
"3","Wegener","18_LD_DD","KA",24.76
"4","Wegener","18_LD_DD","MA",23.12
"5","Wegener","18_LD_DD","MU",24.7
"6","Wegener","18_LD_DD","RE",24.62
"7","Wegener","18_LD_DD","UM",24.28
"8","Wegener","18_LD_DD","VA",24.84
"9","Wegener","18_LD_DD","YE",24.76
