"","Supervisor.PI","Condition","Population","Mean"
"1","Wegener","29_LD_LD","AK",1.32e-08
"2","Wegener","29_LD_LD","GI",4.08e-08
"3","Wegener","29_LD_LD","KA",4.35e-06
"4","Wegener","29_LD_LD","MA",1.03e-11
"5","Wegener","29_LD_LD","MU",5.15e-11
"6","Wegener","29_LD_LD","RE",1.79e-10
"7","Wegener","29_LD_LD","UM",2.07e-18
"8","Wegener","29_LD_LD","VA",4.03e-13
"9","Wegener","29_LD_LD","YE",3.14e-13
