"","Supervisor.PI","Condition","Population","Mean"
"1","Wegener","29_LD_LD","AK",23.36
"2","Wegener","29_LD_LD","GI",22.5
"3","Wegener","29_LD_LD","KA",23.44
"4","Wegener","29_LD_LD","MA",23.06
"5","Wegener","29_LD_LD","MU",23.88
"6","Wegener","29_LD_LD","RE",23.96
"7","Wegener","29_LD_LD","UM",23.14
"8","Wegener","29_LD_LD","VA",23.64
"9","Wegener","29_LD_LD","YE",22.8
