"","Supervisor.PI","Condition","Population","Mean"
"1","Wegener","18_LD_DD","AK",24.22
"2","Wegener","18_LD_DD","GI",24.82
"3","Wegener","18_LD_DD","KA",24.06
"4","Wegener","18_LD_DD","MA",23.3
"5","Wegener","18_LD_DD","MU",24.92
"6","Wegener","18_LD_DD","RE",24.72
"7","Wegener","18_LD_DD","UM",24.22
"8","Wegener","18_LD_DD","VA",24.9
"9","Wegener","18_LD_DD","YE",24.3
