Model	Trait	Sex	Population	Line	Coef_Gibert	Coef_Grath	Coef_Hoedjes	Coef_StamenkovicRadak	Coef_Zwaan	SE_Gibert	SE_Grath	SE_Hoedjes	SE_StamenkovicRadak	SE_Zwaan
lmer_pop	Via	NA	AK	AK1	0.998727512161915	0.9897438014055	1.01819672147691	0.884228076650533	1.10902286660225	0.063327835859444	0.0561091319761802	0.0612624253613493	0.0693476086887768	0.0756659497973691
lmer_pop	Via	NA	AK	AK10	1.10372751216191	NA	1.19319672147691	1.04722807665053	1.19202286660225	0.063327835859444	NA	0.0612624253613493	0.0693476086887768	0.0864715904718884
lmer_pop	Via	NA	AK	AK11	1.04572751216191	NA	1.10219672147691	1.20122807665053	1.03802286660225	0.063327835859444	NA	0.0612624253613493	0.0693476086887768	0.0864715904718884
lmer_pop	Via	NA	AK	AK12	1.11372751216191	0.9967438014055	1.15119672147691	1.12122807665053	1.05202286660225	0.0513655019895716	0.0535652377117885	0.0612624253613493	0.0693476086887768	0.0864715904718884
lmer_pop	Via	NA	AK	AK13	1.07372751216191	NA	1.20719672147691	NA	1.03702286660225	0.063327835859444	NA	0.0612624253613493	NA	0.0864715904718884
lmer_pop	Via	NA	AK	AK14	1.12072751216191	1.0247438014055	1.12819672147691	NA	1.07902286660225	0.063327835859444	0.0535652377117885	0.0612624253613493	NA	0.0864715904718884
lmer_pop	Via	NA	AK	AK15	1.20972751216191	0.9437438014055	1.02319672147691	0.873228076650533	1.07802286660225	0.063327835859444	0.0535652377117885	0.0612624253613493	0.0693476086887768	0.0864715904718884
lmer_pop	Via	NA	AK	AK16	1.10272751216191	NA	1.37219672147691	1.30722807665053	1.21702286660225	0.063327835859444	NA	0.0612624253613493	0.0684988381715464	0.0864715904718884
lmer_pop	Via	NA	AK	AK17	0.996727512161915	0.9907438014055	1.03219672147691	0.964228076650533	1.09502286660225	0.063327835859444	0.0535652377117885	0.0612624253613493	0.0684988381715464	0.0864715904718884
lmer_pop	Via	NA	AK	AK18	0.939727512161915	NA	1.13919672147691	0.785228076650533	0.962022866602253	0.063327835859444	NA	0.0612624253613493	0.0684988381715464	0.0864715904718884
lmer_pop	Via	NA	AK	AK2	1.08772751216191	NA	1.12819672147691	1.10722807665053	1.01802286660225	0.063327835859444	NA	0.0612624253613493	0.0693476086887768	0.0721480142397417
lmer_pop	Via	NA	AK	AK20	1.11872751216191	NA	1.06519672147691	0.907228076650533	1.14302286660225	0.063327835859444	NA	0.0612624253613493	0.0684988381715464	0.0864715904718884
lmer_pop	Via	NA	AK	AK21	1.06572751216191	0.9837438014055	1.11919672147691	1.02622807665053	1.13002286660225	0.063327835859444	0.0535652377117885	0.0612624253613493	0.0684988381715464	0.093836751642083
lmer_pop	Via	NA	AK	AK3	0.964727512161915	NA	0.929196721476911	0.855228076650533	1.07102286660225	0.063327835859444	NA	0.0612624253613493	0.0693476086887768	0.0864715904718884
lmer_pop	Via	NA	AK	AK4	1.15572751216191	0.9777438014055	0.983196721476911	0.903228076650533	0.922022866602253	0.063327835859444	0.0561091319761802	0.0612624253613493	0.0693476086887768	0.0864715904718884
lmer_pop	Via	NA	AK	AK5	1.04972751216191	NA	1.06719672147691	0.802228076650533	1.02702286660225	0.063327835859444	NA	0.0612624253613493	0.0693476086887768	0.0864715904718884
lmer_pop	Via	NA	AK	AK6	0.950727512161915	0.9437438014055	0.984196721476911	0.931228076650533	1.00302286660225	0.063327835859444	0.0561091319761802	0.0612624253613493	0.0693476086887768	0.0864715904718884
lmer_pop	Via	NA	AK	AK7	0.952727512161915	NA	1.05319672147691	1.13822807665053	1.11102286660225	0.063327835859444	NA	0.0612624253613493	0.0693476086887768	0.0864715904718884
lmer_pop	Via	NA	AK	AK8	1.12472751216191	1.0617438014055	1.23619672147691	0.914228076650533	1.08402286660225	0.063327835859444	0.0535652377117885	0.0612624253613493	0.0693476086887768	0.0864715904718884
lmer_pop	Via	NA	AK	AK9	1.15772751216191	0.9647438014055	0.971196721476911	1.23222807665053	1.07102286660225	0.063327835859444	0.0535652377117885	0.0612624253613493	0.0693476086887768	0.0864715904718884
lmer_pop	Via	NA	GI	GI1	1.06329208541954	NA	1.05682433627554	0.821893235867817	0.906906890451249	0.0655329785998072	NA	0.0637791477015783	0.0731634666527547	0.0749735546488329
lmer_pop	Via	NA	GI	GI10	1.03129208541954	NA	1.03282433627554	0.894893235867817	1.00390689045125	0.0540608109832139	NA	0.0637791477015783	0.0731634666527547	0.09602621463268
lmer_pop	Via	NA	GI	GI11	0.900292085419537	NA	0.919824336275538	0.967893235867817	0.981906890451249	0.0655329785998072	NA	0.0637791477015783	0.0731634666527547	0.0888427481378279
lmer_pop	Via	NA	GI	GI12	0.741292085419537	NA	0.821824336275538	0.808893235867817	0.920906890451249	0.0655329785998072	NA	0.0637791477015783	0.0731634666527547	0.09602621463268
lmer_pop	Via	NA	GI	GI13	0.948292085419537	NA	0.826824336275538	NA	1.00490689045125	0.0655329785998072	NA	0.0637791477015783	NA	0.0888427481378279
lmer_pop	Via	NA	GI	GI14	0.764292085419537	NA	0.730824336275538	0.662893235867817	0.926906890451249	0.0655329785998072	NA	0.0637791477015783	0.0723594696819204	0.0888427481378279
lmer_pop	Via	NA	GI	GI15	0.807292085419537	NA	0.849824336275538	NA	0.950906890451249	0.0655329785998072	NA	0.0637791477015783	NA	0.0888427481378279
lmer_pop	Via	NA	GI	GI2	0.949292085419537	NA	0.843824336275538	0.915893235867817	0.984906890451249	0.0655329785998072	NA	0.0637791477015783	0.0731634666527547	0.0749735546488329
