"","Trait","Sex","Moderator","R2","P"
"1","Fec","F","Population",0,0.994269058226975
"2","Fec","F","PC",93.436593572504,3.51561162934759e-14
"3","Fec","F","Lab",93.436593572504,3.51561162934717e-14
"4","Fec","F","Population + Lab",79.0963665613291,3.09351362854455e-06
"5","Fec","F","Population + PC",79.0963665613286,3.09351362854514e-06
