Model	Trait	Sex	Population	Line	Estimate_Parsch	Estimate_Pasyukova	SE_Parsch	SE_Pasyukova
lmer_pop	LS	F	RE	RE6	0.35	3.071	3.067	2.431
lmer_pop	LS	F	RE	RE7	-6.07	-1.44	3.022	2.431
lmer_pop	LS	F	RE	RE8	-1.301	-2.675	3.129	2.431
lmer_pop	LS	F	UM	UM13	0.041	4.738	3.12	2.431
lmer_pop	LS	F	UM	UM17	3.826	-2.073	3.093	2.431
lmer_pop	LS	F	UM	UM18	-4.155	1.622	3.273	2.431
lmer_pop	LS	F	UM	UM2	1.348	-2.111	3.04	2.431
lmer_pop	LS	F	UM	UM20	-1.976	3.503	3.017	2.431
lmer_pop	LS	F	UM	UM21	-0.381	5.82	3.076	2.431
lmer_pop	LS	F	UM	UM23	1.244	0.52	3.006	2.431
lmer_pop	LS	F	UM	UM25	3.077	-4.675	3.07	2.431
lmer_pop	LS	F	UM	UM26	-2.717	-4.457	3.07	2.431
lmer_pop	LS	F	UM	UM28	2.868	-8.38	3.111	2.431
lmer_pop	LS	F	UM	UM29	0.155	-1.94	3.119	2.431
lmer_pop	LS	F	UM	UM4	-10.008	-6.157	3.107	2.431
lmer_pop	LS	F	UM	UM5	-2.847	3.959	3.091	2.431
lmer_pop	LS	F	UM	UM7	3.849	0.634	3.127	2.431
lmer_pop	LS	F	UM	UM9	5.676	4.975	3.051	2.431
lmer_pop	LS	F	VA	VA1	-1.643	1.256	3.055	2.431
lmer_pop	LS	F	VA	VA18	5.606	1.266	3.064	2.431
lmer_pop	LS	F	VA	VA22	-4.343	0.943	3.067	2.431
lmer_pop	LS	F	VA	VA26	-2.06	-1.156	3.039	2.431
lmer_pop	LS	F	VA	VA30	5.376	-5.174	3.064	2.431
lmer_pop	LS	F	VA	VA34	3.961	-2.686	3.095	2.431
lmer_pop	LS	F	VA	VA47	-1.504	-1.66	3.102	2.431
lmer_pop	LS	F	VA	VA48	5.365	4.685	3.097	2.431
lmer_pop	LS	F	VA	VA55	-0.308	-6.39	3.079	2.431
lmer_pop	LS	F	VA	VA57	-9.527	-5.127	3.047	2.431
lmer_pop	LS	F	VA	VA6	5.5	5.15	3.115	2.431
lmer_pop	LS	F	VA	VA66	-3.518	10.175	3.03	2.431
lmer_pop	LS	F	VA	VA67	-1.567	-5.146	3.117	2.431
lmer_pop	LS	F	VA	VA71	-0.286	7.401	3.009	2.431
lmer_pop	LS	F	VA	VA9	-1.052	1.171	2.928	2.431
lmer_pop	LS	F	YE	YE11	-3.176	-9.115	3.193	2.431
lmer_pop	LS	F	YE	YE13	-1.014	1.276	3.059	2.431
lmer_pop	LS	F	YE	YE15	-4.332	-2.704	3.111	2.431
lmer_pop	LS	F	YE	YE19	4.181	-0.672	3.11	2.431
lmer_pop	LS	F	YE	YE21	-2.074	0.022	3.089	2.431
lmer_pop	LS	F	YE	YE22	2.149	2.52	3.013	2.431
lmer_pop	LS	F	YE	YE23	-2.357	3.08	3.146	2.431
lmer_pop	LS	F	YE	YE24	-3.219	-1.517	3.108	2.431
lmer_pop	LS	F	YE	YE26	0.135	-0.026	3.132	2.431
lmer_pop	LS	F	YE	YE33	-1.879	-2.324	3.075	2.431
lmer_pop	LS	F	YE	YE40	0.715	7.165	3.222	2.431
lmer_pop	LS	F	YE	YE48	1.72	2.026	3.073	2.431
lmer_pop	LS	F	YE	YE51	3.564	-3.303	3.129	2.431
lmer_pop	LS	F	YE	YE69	-0.887	-0.767	3.072	2.431
lmer_pop	LS	F	YE	YE80	6.473	-1.583	3.083	2.431
lmer_pop	LS	F	AK	AK12	NA	1.8	NA	2.431
lmer_pop	LS	F	AK	AK15	NA	-0.413	NA	2.431
lmer_pop	LS	F	AK	AK16	NA	8.192	NA	2.431
lmer_pop	LS	F	AK	AK19	NA	-7.945	NA	2.431
lmer_pop	LS	F	AK	AK2	NA	1.857	NA	2.431
lmer_pop	LS	F	AK	AK24	NA	-3.947	NA	2.431
lmer_pop	LS	F	AK	AK5	NA	4.004	NA	2.431
lmer_pop	LS	F	KA	KA13	NA	-2.729	NA	2.431
lmer_pop	LS	F	KA	KA16	NA	-1.931	NA	2.431
lmer_pop	LS	F	KA	KA2	NA	8.621	NA	2.431
lmer_pop	LS	F	KA	KA25	NA	-7.877	NA	2.431
lmer_pop	LS	F	KA	KA6	NA	-2.843	NA	2.431
lmer_pop	LS	F	MA	MA13	NA	6.557	NA	2.431
lmer_pop	LS	F	MA	MA27	NA	-3.806	NA	2.431
lmer_pop	LS	F	MA	MA28	NA	1.428	NA	2.431
lmer_pop	LS	F	MA	MA31	NA	-5.582	NA	2.431
lmer_pop	LS	F	MA	MA32	NA	1.048	NA	2.431
lmer_pop	LS	F	MU	MU12	NA	-0.304	NA	2.431
lmer_pop	LS	F	MU	MU13	NA	-5.946	NA	2.431
lmer_pop	LS	F	MU	MU16	NA	-3.799	NA	2.431
lmer_pop	LS	F	MU	MU19	NA	-5.547	NA	2.431
lmer_pop	LS	F	MU	MU8	NA	2.821	NA	2.431
lmer_pop	LS	F	RE	RE1	NA	-3.71	NA	2.431
lmer_pop	LS	F	UM	UM22	NA	2.249	NA	2.431
lmer_pop	LS	F	UM	UM24	NA	2.904	NA	2.431
lmer_pop	LS	F	UM	UM6	NA	-1.132	NA	2.431
lmer_pop	LS	F	VA	VA11	NA	-3.132	NA	2.431
lmer_pop	LS	F	VA	VA15	NA	1.57	NA	2.431
lmer_pop	LS	F	VA	VA35	NA	-1.945	NA	2.431
lmer_pop	LS	F	VA	VA44	NA	2.073	NA	2.431
lmer_pop	LS	F	VA	VA46	NA	-3.275	NA	2.431
lmer_pop	LS	F	YE	YE14	NA	0.449	NA	2.431
lmer_pop	LS	F	YE	YE20	NA	4.628	NA	2.431
lmer_pop	LS	F	YE	YE27	NA	-3.065	NA	2.431
lmer_pop	LS	F	YE	YE41	NA	0.639	NA	2.431
lmer_pop	LS	F	YE	YE49	NA	3.27	NA	2.431
lmer_pop	LS	M	AK	AK1	-1.904	-1.132	3.112	2.733
lmer_pop	LS	M	AK	AK10	0.645	-8.848	3.271	2.733
lmer_pop	LS	M	AK	AK11	-7.3	-5.076	3.07	2.733
lmer_pop	LS	M	AK	AK13	1.861	-3.099	3.016	2.733
lmer_pop	LS	M	AK	AK14	-0.53	5.457	2.996	2.733
lmer_pop	LS	M	AK	AK17	-3.823	-6.212	2.916	2.733
lmer_pop	LS	M	AK	AK18	2.88	6.259	3.117	2.733
lmer_pop	LS	M	AK	AK20	3.207	-4.685	3.229	2.733
lmer_pop	LS	M	AK	AK21	2.071	0.759	3.081	2.733
lmer_pop	LS	M	AK	AK3	3.207	6.699	3.18	2.733
lmer_pop	LS	M	AK	AK4	-4.286	1.169	2.907	2.733
lmer_pop	LS	M	AK	AK6	-7.643	-0.96	3.154	2.733
lmer_pop	LS	M	AK	AK7	2.71	0.644	3.201	2.733
lmer_pop	LS	M	AK	AK8	6.406	0.558	3.095	2.733
lmer_pop	LS	M	AK	AK9	2.496	-2.268	3.113	2.733
lmer_pop	LS	M	GI	GI1	1.755	-6.899	3.142	2.733
lmer_pop	LS	M	GI	GI10	-0.909	3.768	3.068	2.733
lmer_pop	LS	M	GI	GI11	-5.579	-1.103	3.151	2.733
lmer_pop	LS	M	GI	GI12	-6.712	NA	3.115	NA
lmer_pop	LS	M	GI	GI13	7.623	10.557	3.025	2.733
lmer_pop	LS	M	GI	GI14	3.292	-1.275	2.995	2.733
lmer_pop	LS	M	GI	GI15	1.72	NA	3.198	NA
lmer_pop	LS	M	GI	GI2	-0.535	-0.721	2.972	2.733
lmer_pop	LS	M	GI	GI3	-6.24	4.236	3.092	2.733
lmer_pop	LS	M	GI	GI4	0.613	-10.767	3.095	2.733
