Model	Trait	Sex	Population	Line	Coef_Parsch	Coef_Pasyukova	SE_Parsch	SE_Pasyukova
lmer_pop	LS	F	AK	AK1	64.7754002624653	42.0747500000375	4.27067573296572	2.71694405094846
lmer_pop	LS	F	AK	AK10	56.6154002624653	37.0397500000375	4.37507670974376	2.71694405094846
lmer_pop	LS	F	AK	AK11	60.8354002624653	45.3697500000375	4.25291620140138	2.71694405094846
lmer_pop	LS	F	AK	AK13	60.6284002624653	42.1507500000375	4.28922221575688	2.71694405094846
lmer_pop	LS	F	AK	AK14	59.3884002624653	44.6487500000375	4.25362518519701	2.71694405094846
lmer_pop	LS	F	AK	AK17	56.0604002624653	37.8187500000375	4.2885074578625	2.71694405094846
lmer_pop	LS	F	AK	AK18	58.5544002624653	54.9537500000375	4.38236194490395	2.71694405094846
lmer_pop	LS	F	AK	AK20	59.2304002624653	43.8977500000375	4.26782933306175	2.71694405094846
lmer_pop	LS	F	AK	AK21	58.7744002624653	43.5557500000375	4.28636386884528	2.71694405094846
lmer_pop	LS	F	AK	AK3	61.3394002624653	45.2747500000375	4.28493538062621	2.71694405094846
lmer_pop	LS	F	AK	AK4	58.7794002624653	46.1107500000375	4.22958570265958	2.71694405094846
lmer_pop	LS	F	AK	AK6	61.0424002624653	46.7287500000375	4.32150346709826	2.71694405094846
lmer_pop	LS	F	AK	AK7	58.3944002624653	41.3997500000375	4.29351315546399	2.71694405094846
lmer_pop	LS	F	AK	AK8	59.8004002624653	40.9347500000375	4.29351315546399	2.71694405094846
lmer_pop	LS	F	AK	AK9	60.1614002624653	39.8987500000375	4.31502899366184	2.71694405094846
lmer_pop	LS	F	GI	GI1	51.1691890452623	36.9135769230764	4.33224849351973	2.8984269005475
lmer_pop	LS	F	GI	GI10	53.3341890452623	44.2935769230764	4.38220241540757	2.8984269005475
lmer_pop	LS	F	GI	GI11	54.7781890452623	43.1255769230764	4.35824655218173	2.8984269005475
lmer_pop	LS	F	GI	GI12	50.7011890452623	NA	4.32361434561455	NA
lmer_pop	LS	F	GI	GI13	58.7701890452623	47.3615769230764	4.25159099745071	2.8984269005475
lmer_pop	LS	F	GI	GI14	59.0461890452623	44.2265769230764	4.31930330141378	2.8984269005475
lmer_pop	LS	F	GI	GI15	54.1381890452623	NA	4.32577137740819	NA
lmer_pop	LS	F	GI	GI2	55.8951890452623	45.5665769230764	4.34234188078322	2.8984269005475
lmer_pop	LS	F	GI	GI3	52.3431890452623	47.9025769230764	4.31427885162792	2.8984269005475
lmer_pop	LS	F	GI	GI4	50.9581890452623	38.0055769230764	4.34306366630791	2.8984269005475
lmer_pop	LS	F	GI	GI5	51.4871890452623	36.0485769230764	4.3020996047981	2.8984269005475
lmer_pop	LS	F	GI	GI6	65.8141890452623	47.8745769230764	4.27997500104895	2.8984269005475
lmer_pop	LS	F	GI	GI7	57.1491890452623	40.4565769230764	4.22620610117443	2.8984269005475
lmer_pop	LS	F	GI	GI8	54.3971890452623	45.3285769230764	4.35824655218173	2.8984269005475
lmer_pop	LS	F	GI	GI9	53.6571890452623	49.1845769230764	4.29637952345972	2.8984269005475
lmer_pop	LS	F	KA	KA1	58.7132492693028	48.1573749999977	4.29265500496118	2.74390002980816
lmer_pop	LS	F	KA	KA10	62.1382492693028	58.1023749999977	4.24928629202814	2.74390002980816
lmer_pop	LS	F	KA	KA11	54.4512492693028	42.4583749999977	4.33284283024647	2.74390002980816
lmer_pop	LS	F	KA	KA14	58.8172492693028	46.9323749999977	4.31414035372266	2.74390002980816
lmer_pop	LS	F	KA	KA15	54.7082492693028	49.4873749999977	4.3682928005822	2.74390002980816
lmer_pop	LS	F	KA	KA17	60.1522492693028	39.2293749999977	4.26061990696404	2.74390002980816
lmer_pop	LS	F	KA	KA18	57.4732492693028	46.9983749999977	4.33212211180828	2.74390002980816
lmer_pop	LS	F	KA	KA23	50.0982492693028	47.3973749999977	4.34294450708483	2.74390002980816
lmer_pop	LS	F	KA	KA24	53.7902492693028	49.3443749999977	4.32276288866487	2.74390002980816
lmer_pop	LS	F	KA	KA28	52.4662492693028	45.4883749999977	4.28694284911967	2.74390002980816
lmer_pop	LS	F	KA	KA29	55.6562492693028	46.0963749999977	4.3393342797736	2.74390002980816
lmer_pop	LS	F	KA	KA3	59.5482492693028	46.1153749999977	4.27981296222373	2.74390002980816
lmer_pop	LS	F	KA	KA5	56.8942492693028	43.1993749999977	4.28408951722747	2.74390002980816
lmer_pop	LS	F	KA	KA7	60.9322492693028	49.2683749999977	4.30768406357967	2.74390002980816
lmer_pop	LS	F	KA	KA9	57.1532492693028	45.6783749999977	4.29408418543678	2.74390002980816
lmer_pop	LS	F	MA	MA12	51.167385648494	42.1967499999977	4.27781629864258	2.74390002980816
lmer_pop	LS	F	MA	MA16	48.722385648494	52.4647499999977	4.30990107600303	2.74390002980816
lmer_pop	LS	F	MA	MA18	50.234385648494	49.7857499999977	4.26504774708702	2.74390002980816
lmer_pop	LS	F	MA	MA19	52.366385648494	50.4507499999977	4.30275112979267	2.74390002980816
lmer_pop	LS	F	MA	MA20	46.003385648494	46.3567499999977	4.36171150867777	2.74390002980816
lmer_pop	LS	F	MA	MA21	41.921385648494	43.6787499999977	4.43607431012287	2.74390002980816
lmer_pop	LS	F	MA	MA23	47.276385648494	41.8837499999977	4.33501468105151	2.74390002980816
lmer_pop	LS	F	MA	MA26	46.819385648494	33.2117499999977	4.31993000926312	2.74390002980816
lmer_pop	LS	F	MA	MA3	47.513385648494	41.3987499999977	4.4324034433851	2.74390002980816
lmer_pop	LS	F	MA	MA30	43.767385648494	44.1727499999977	4.39365352354189	2.74390002980816
lmer_pop	LS	F	MA	MA33	44.019385648494	38.2457499999977	4.31061669427149	2.74390002980816
lmer_pop	LS	F	MA	MA5	49.095385648494	40.9997499999977	4.2600924033326	2.74390002980816
lmer_pop	LS	F	MA	MA6	45.159385648494	37.0207499999977	4.39511038370279	2.74390002980816
lmer_pop	LS	F	MA	MA7	51.638385648494	44.3057499999977	4.30275112979267	2.74390002980816
lmer_pop	LS	F	MA	MA9	43.892385648494	44.1917499999977	4.34221513572647	2.74390002980816
lmer_pop	LS	F	MU	MU1	53.9498531960151	45.1854999999998	4.33145222257409	2.74390002980817
lmer_pop	LS	F	MU	MU10	53.2408531960151	45.6414999999998	4.35239443943698	2.74390002980817
lmer_pop	LS	F	MU	MU11	54.7408531960151	47.8354999999998	4.31419127490217	2.74390002980817
lmer_pop	LS	F	MU	MU14	54.1718531960151	45.6984999999998	4.26138080396976	2.74390002980817
lmer_pop	LS	F	MU	MU15	57.3088531960151	47.4844999999998	4.26067146779026	2.74390002980817
lmer_pop	LS	F	MU	MU17	53.8748531960151	39.1444999999998	4.30845196752174	2.74390002980817
lmer_pop	LS	F	MU	MU18	52.9828531960151	48.1204999999998	4.31490919446076	2.74390002980817
lmer_pop	LS	F	MU	MU2	54.5188531960151	47.7784999999998	4.32569143102487	2.74390002980817
lmer_pop	LS	F	MU	MU20	56.1118531960151	38.7744999999998	4.43854270638934	2.74390002980817
lmer_pop	LS	F	MU	MU3	55.6548531960151	47.1134999999998	4.31778199501109	2.74390002980817
lmer_pop	LS	F	MU	MU4	45.7578531960151	51.0174999999998	4.28628059702605	2.74390002980817
lmer_pop	LS	F	MU	MU5	53.4058531960151	41.4434999999998	4.29342070573593	2.74390002980817
lmer_pop	LS	F	MU	MU6	55.9748531960151	41.8324999999998	4.24863064485982	2.74390002980817
lmer_pop	LS	F	MU	MU7	53.2128531960151	36.7704999999998	4.32425234652674	2.74390002980817
lmer_pop	LS	F	MU	MU9	55.3038531960151	43.4954999999998	4.26279982598784	2.74390002980817
