Model	Trait	Lab	Sex	Population	Line	Value_re	SE_re
lmer_pop	SR	Gonzalez	F	RE	RE15	-4.46	6.025
lmer_pop	SR	Gonzalez	F	RE	RE16	13.365	6.025
lmer_pop	SR	Gonzalez	F	RE	RE17	-3.014	6.025
lmer_pop	SR	Gonzalez	F	RE	RE18	5.171	6.014
lmer_pop	SR	Gonzalez	F	RE	RE2	8.842	5.988
lmer_pop	SR	Gonzalez	F	RE	RE3	2.706	6.017
lmer_pop	SR	Gonzalez	F	RE	RE5	-13.125	6.032
lmer_pop	SR	Gonzalez	F	RE	RE6	0.806	6
lmer_pop	SR	Gonzalez	F	UM	UM13	-21.44	4.306
lmer_pop	SR	Gonzalez	F	UM	UM18	-2.247	6
lmer_pop	SR	Gonzalez	F	UM	UM20	3.527	6
lmer_pop	SR	Gonzalez	F	UM	UM21	-3.292	6.015
lmer_pop	SR	Gonzalez	F	UM	UM22	-1.614	6.093
lmer_pop	SR	Gonzalez	F	UM	UM26	-0.755	6.025
lmer_pop	SR	Gonzalez	F	UM	UM29	12.63	5.813
lmer_pop	SR	Gonzalez	F	UM	UM4	5.051	5.988
lmer_pop	SR	Gonzalez	F	UM	UM5	1.464	5.914
lmer_pop	SR	Gonzalez	F	UM	UM7	2.305	6.013
lmer_pop	SR	Gonzalez	F	UM	UM9	4.37	6
lmer_pop	SR	Gonzalez	F	VA	VA11	13.126	6
lmer_pop	SR	Gonzalez	F	VA	VA15	0.649	5.974
lmer_pop	SR	Gonzalez	F	VA	VA18	4.114	6.009
lmer_pop	SR	Gonzalez	F	VA	VA22	21.112	6
lmer_pop	SR	Gonzalez	F	VA	VA26	-9.274	6.032
lmer_pop	SR	Gonzalez	F	VA	VA30	-10.741	6.032
lmer_pop	SR	Gonzalez	F	VA	VA34	14.771	5.966
lmer_pop	SR	Gonzalez	F	VA	VA35	-3.66	5.992
lmer_pop	SR	Gonzalez	F	VA	VA44	6.294	6.019
lmer_pop	SR	Gonzalez	F	VA	VA46	9.483	6.019
lmer_pop	SR	Gonzalez	F	VA	VA48	-11.584	5.988
lmer_pop	SR	Gonzalez	F	VA	VA55	0.737	5.988
lmer_pop	SR	Gonzalez	F	VA	VA57	7.01	5.988
lmer_pop	SR	Gonzalez	F	VA	VA66	-17.001	4.322
lmer_pop	SR	Gonzalez	F	VA	VA71	-12.545	5.988
lmer_pop	SR	Gonzalez	F	VA	VA9	-12.491	5.988
lmer_pop	SR	Gonzalez	F	YE	YE13	0.622	5.977
lmer_pop	SR	Gonzalez	F	YE	YE14	-8.379	6.005
lmer_pop	SR	Gonzalez	F	YE	YE15	5.1	5.974
lmer_pop	SR	Gonzalez	F	YE	YE19	6.26	6.017
lmer_pop	SR	Gonzalez	F	YE	YE20	-3.25	6.005
lmer_pop	SR	Gonzalez	F	YE	YE21	6.66	5.99
lmer_pop	SR	Gonzalez	F	YE	YE23	-7.27	5.978
lmer_pop	SR	Gonzalez	F	YE	YE24	-0.727	5.978
lmer_pop	SR	Gonzalez	F	YE	YE26	3.504	5.988
lmer_pop	SR	Gonzalez	F	YE	YE27	3.411	5.977
lmer_pop	SR	Gonzalez	F	YE	YE40	-7.822	6.032
lmer_pop	SR	Gonzalez	F	YE	YE48	-6.915	5.988
lmer_pop	SR	Gonzalez	F	YE	YE49	10.572	5.977
lmer_pop	SR	Gonzalez	F	YE	YE51	-4.942	5.988
lmer_pop	SR	Gonzalez	F	YE	YE80	3.175	6.022
lmer_pop	SR	Onder	F	AK	AK1	10.237	1.995
lmer_pop	SR	Onder	F	AK	AK10	12.773	2.012
lmer_pop	SR	Onder	F	AK	AK11	-6.509	2.01
lmer_pop	SR	Onder	F	AK	AK12	-11.164	1.983
lmer_pop	SR	Onder	F	AK	AK13	-1.267	1.995
lmer_pop	SR	Onder	F	AK	AK14	13.656	2.003
lmer_pop	SR	Onder	F	AK	AK15	-4.199	2.006
lmer_pop	SR	Onder	F	AK	AK16	6.783	2.003
lmer_pop	SR	Onder	F	AK	AK17	2.254	2.003
lmer_pop	SR	Onder	F	AK	AK18	-22.267	2.003
lmer_pop	SR	Onder	F	AK	AK2	5.633	2.018
lmer_pop	SR	Onder	F	AK	AK20	-11.803	2.003
lmer_pop	SR	Onder	F	AK	AK21	-5.555	2.003
lmer_pop	SR	Onder	F	AK	AK3	6.564	2.01
lmer_pop	SR	Onder	F	AK	AK4	11.848	2.01
lmer_pop	SR	Onder	F	AK	AK5	20.211	2.011
lmer_pop	SR	Onder	F	AK	AK6	-11.863	2.018
lmer_pop	SR	Onder	F	AK	AK7	7.347	2.018
lmer_pop	SR	Onder	F	AK	AK8	-15.071	2.003
lmer_pop	SR	Onder	F	AK	AK9	-7.608	2.01
lmer_pop	SR	Onder	F	GI	GI1	6.347	2.035
lmer_pop	SR	Onder	F	GI	GI10	5.999	2.003
lmer_pop	SR	Onder	F	GI	GI11	-11.28	2.01
lmer_pop	SR	Onder	F	GI	GI12	-12.938	1.995
lmer_pop	SR	Onder	F	GI	GI13	-13.149	2.018
lmer_pop	SR	Onder	F	GI	GI14	20.29	2.003
lmer_pop	SR	Onder	F	GI	GI15	27.425	2.018
lmer_pop	SR	Onder	F	GI	GI2	-5.055	2.011
lmer_pop	SR	Onder	F	GI	GI3	-10.323	2.003
lmer_pop	SR	Onder	F	GI	GI4	0.142	2.003
lmer_pop	SR	Onder	F	GI	GI5	-1.759	2.003
lmer_pop	SR	Onder	F	GI	GI6	-4.061	2.003
lmer_pop	SR	Onder	F	GI	GI7	-4.984	2.01
lmer_pop	SR	Onder	F	GI	GI8	1.313	2.003
lmer_pop	SR	Onder	F	GI	GI9	2.035	2.01
lmer_pop	SR	Onder	F	KA	KA1	-4.468	2.01
lmer_pop	SR	Onder	F	KA	KA10	-4.669	2.01
lmer_pop	SR	Onder	F	KA	KA11	-9.236	2.003
lmer_pop	SR	Onder	F	KA	KA13	-16.969	2.01
lmer_pop	SR	Onder	F	KA	KA14	-9.335	2.01
lmer_pop	SR	Onder	F	KA	KA15	5.035	2.003
lmer_pop	SR	Onder	F	KA	KA16	6.072	2.018
lmer_pop	SR	Onder	F	KA	KA17	-1.916	2.003
lmer_pop	SR	Onder	F	KA	KA18	0.307	2.026
lmer_pop	SR	Onder	F	KA	KA2	14.879	1.996
lmer_pop	SR	Onder	F	KA	KA23	-2.072	2.003
lmer_pop	SR	Onder	F	KA	KA24	0.974	2.003
lmer_pop	SR	Onder	F	KA	KA25	22.881	1.995
lmer_pop	SR	Onder	F	KA	KA28	25.027	2.003
lmer_pop	SR	Onder	F	KA	KA29	18.389	2.003
lmer_pop	SR	Onder	F	KA	KA3	5.021	2.003
lmer_pop	SR	Onder	F	KA	KA5	-10.272	2.003
lmer_pop	SR	Onder	F	KA	KA6	-23.157	2.003
lmer_pop	SR	Onder	F	KA	KA7	-8.093	1.995
lmer_pop	SR	Onder	F	KA	KA9	-8.397	2.003
lmer_pop	SR	Onder	F	MA	MA12	4.732	2.004
lmer_pop	SR	Onder	F	MA	MA13	14.933	2.018
lmer_pop	SR	Onder	F	MA	MA16	-9.767	2.004
lmer_pop	SR	Onder	F	MA	MA18	21.442	2.027
lmer_pop	SR	Onder	F	MA	MA19	-2.473	2.003
lmer_pop	SR	Onder	F	MA	MA20	-18.092	2.003
lmer_pop	SR	Onder	F	MA	MA21	26.86	1.982
lmer_pop	SR	Onder	F	MA	MA23	-3.59	1.996
lmer_pop	SR	Onder	F	MA	MA26	0.875	2.011
lmer_pop	SR	Onder	F	MA	MA27	2.681	2.003
lmer_pop	SR	Onder	F	MA	MA28	-11.17	2.006
lmer_pop	SR	Onder	F	MA	MA3	-12.857	2.044
lmer_pop	SR	Onder	F	MA	MA30	12.211	2.01
lmer_pop	SR	Onder	F	MA	MA31	-12.625	2.003
lmer_pop	SR	Onder	F	MA	MA32	14.083	2.003
lmer_pop	SR	Onder	F	MA	MA33	-11.454	2.003
lmer_pop	SR	Onder	F	MA	MA5	13.146	2.003
lmer_pop	SR	Onder	F	MA	MA6	-12.468	2.018
lmer_pop	SR	Onder	F	MA	MA7	-9.621	2.018
lmer_pop	SR	Onder	F	MA	MA9	-6.846	2.003
lmer_pop	SR	Onder	F	MU	MU1	-13.142	2.018
lmer_pop	SR	Onder	F	MU	MU10	-16.554	2.01
lmer_pop	SR	Onder	F	MU	MU11	12.593	2.003
lmer_pop	SR	Onder	F	MU	MU12	17.612	2.018
lmer_pop	SR	Onder	F	MU	MU13	-18.645	2.003
lmer_pop	SR	Onder	F	MU	MU14	26.395	2.018
lmer_pop	SR	Onder	F	MU	MU15	20.011	2.003
lmer_pop	SR	Onder	F	MU	MU16	-18.879	2.003
lmer_pop	SR	Onder	F	MU	MU17	11.606	1.995
lmer_pop	SR	Onder	F	MU	MU18	-6.639	2.003
lmer_pop	SR	Onder	F	MU	MU19	10.501	2.01
lmer_pop	SR	Onder	F	MU	MU2	3.949	2.01
lmer_pop	SR	Onder	F	MU	MU20	11.853	2.026
lmer_pop	SR	Onder	F	MU	MU3	-5.734	0.906
lmer_pop	SR	Onder	F	MU	MU4	7.792	2.018
lmer_pop	SR	Onder	F	MU	MU5	6.15	2.003
lmer_pop	SR	Onder	F	MU	MU6	-16.509	2.003
lmer_pop	SR	Onder	F	MU	MU7	-9.767	2.003
lmer_pop	SR	Onder	F	MU	MU8	-1.692	1.995
lmer_pop	SR	Onder	F	MU	MU9	-20.901	2.01
lmer_pop	SR	Onder	F	RE	RE1	7.991	2.01
lmer_pop	SR	Onder	F	RE	RE10	-7.082	2.003
lmer_pop	SR	Onder	F	RE	RE11	-3.433	2.01
lmer_pop	SR	Onder	F	RE	RE12	12.884	2.011
lmer_pop	SR	Onder	F	RE	RE13	6.055	2.026
lmer_pop	SR	Onder	F	RE	RE15	-4.036	2.003
lmer_pop	SR	Onder	F	RE	RE16	19.429	2.018
lmer_pop	SR	Onder	F	RE	RE17	-15.532	1.995
lmer_pop	SR	Onder	F	RE	RE18	-3.567	2.003
lmer_pop	SR	Onder	F	RE	RE2	1.922	1.425
lmer_pop	SR	Onder	F	RE	RE3	9.568	2.117
lmer_pop	SR	Onder	F	RE	RE4	-12.36	2.011
lmer_pop	SR	Onder	F	RE	RE5	-4.535	1.995
lmer_pop	SR	Onder	F	RE	RE6	-7.974	1.995
lmer_pop	SR	Onder	F	RE	RE7	15.639	2.01
