Model	Trait	Sex	Population	Line	Value_re_Gonzalez	Value_re_Onder	Value_re_Pasyukova	SE_re_Gonzalez	SE_re_Onder	SE_re_Pasyukova
lmer_pop	SR	M	YE	YE20	-2.571	-12.754	-2.56	3.966	1.69	2.6
lmer_pop	SR	M	YE	YE21	7.137	-4.398	-6.696	4.026	1.685	2.603
lmer_pop	SR	M	YE	YE22	1.69	3.056	-2.981	4.063	1.685	2.602
lmer_pop	SR	M	YE	YE23	-4.08	-9.523	-10.202	4.031	1.685	2.653
lmer_pop	SR	M	YE	YE24	-0.383	4.285	8.828	3.978	1.696	2.719
lmer_pop	SR	M	YE	YE26	-1.385	11.831	3.442	4.018	1.685	2.603
lmer_pop	SR	M	YE	YE27	5.534	8.336	0.681	4.026	1.685	2.6
lmer_pop	SR	M	YE	YE33	-2.588	8.463	7.804	4.07	1.696	2.602
lmer_pop	SR	M	YE	YE40	0.034	4.332	2.544	3.996	1.685	2.6
lmer_pop	SR	M	YE	YE41	-4.79	3.91	-3.311	4.06	1.685	2.603
lmer_pop	SR	M	YE	YE48	3.496	-1.445	3.922	4.006	1.69	2.602
lmer_pop	SR	M	YE	YE49	8.222	-2.301	-4.131	4.03	1.685	2.602
lmer_pop	SR	M	YE	YE51	-11.076	-6.106	-0.392	3.996	1.685	2.6
lmer_pop	SR	M	YE	YE69	-1.27	4.687	8.179	3.957	1.685	2.609
lmer_pop	SR	M	YE	YE80	3.491	13.772	10.525	3.996	1.685	2.6
lmer_pop	SR	M	AK	AK11	NA	-3.776	-4.849	NA	1.685	2.6
lmer_pop	SR	M	KA	KA23	NA	-11.472	-13.483	NA	1.685	2.602
lmer_pop	SR	M	KA	KA24	NA	-4.631	-0.252	NA	1.69	2.6
lmer_pop	SR	M	KA	KA25	NA	1.593	-8.587	NA	1.685	2.6
lmer_pop	SR	M	KA	KA28	NA	9.824	7.368	NA	1.685	2.602
lmer_pop	SR	M	KA	KA29	NA	8.581	14.044	NA	1.685	2.6
lmer_pop	SR	M	MU	MU16	NA	-1.322	1.897	NA	1.696	2.6
lmer_pop	SR	M	RE	RE17	NA	-11.966	-2.447	NA	1.685	2.6
lmer_pop	SR	M	UM	UM2	NA	-11.518	-11.315	NA	2.01	2.6
lmer_pop	SR	M	UM	UM25	NA	24.291	19.685	NA	1.69	2.601
lmer_pop	SR	M	UM	UM28	NA	-25.631	-8.272	NA	1.685	2.602
lmer_pop	SR	M	UM	UM6	NA	10.398	4.132	NA	1.685	2.6
lmer_pop	SR	M	AK	AK19	NA	NA	-7.643	NA	NA	2.602
lmer_pop	SR	M	AK	AK24	NA	NA	10.272	NA	NA	2.602
lmer_pop	SR	M	UM	UM24	NA	NA	-4.568	NA	NA	2.6
