Model	Trait	Sex	Population	Line	Value_re_Gonzalez	Value_re_Onder	Value_re_Pasyukova	SE_re_Gonzalez	SE_re_Onder	SE_re_Pasyukova
lmer_pop	SR	F	MU	MU11	-1.146	12.593	3.611	5.99	2.003	3.598
lmer_pop	SR	F	MU	MU12	-0.39	17.612	14.87	5.988	2.018	3.594
lmer_pop	SR	F	MU	MU13	-2.421	-18.645	-16.409	5.992	2.003	3.594
lmer_pop	SR	F	MU	MU14	16.984	26.395	-8.94	6	2.018	3.594
lmer_pop	SR	F	MU	MU15	19.865	20.011	18.272	6.022	2.003	3.594
lmer_pop	SR	F	MU	MU17	-3.965	11.606	11.714	6.006	1.995	3.594
lmer_pop	SR	F	MU	MU18	-3.698	-6.639	2.585	5.988	2.003	3.598
lmer_pop	SR	F	MU	MU19	13.747	10.501	16.937	5.988	2.01	3.594
lmer_pop	SR	F	MU	MU2	-10.853	3.949	4.585	6.025	2.01	3.594
lmer_pop	SR	F	MU	MU20	5.592	11.853	16.843	5.994	2.026	3.598
lmer_pop	SR	F	MU	MU3	-9.493	-5.734	-7.641	6.005	0.906	3.594
lmer_pop	SR	F	MU	MU4	-8.5	7.792	-1.76	5.988	2.018	3.594
lmer_pop	SR	F	MU	MU5	-7.653	6.15	0.977	5.968	2.003	3.594
lmer_pop	SR	F	MU	MU6	-1.7	-16.509	-12.239	6.025	2.003	3.594
lmer_pop	SR	F	MU	MU7	1.337	-9.767	-20.457	5.988	2.003	3.596
lmer_pop	SR	F	MU	MU8	14.871	-1.692	8.311	6	1.995	3.594
lmer_pop	SR	F	MU	MU9	-15.305	-20.901	-1.582	5.993	2.01	3.594
lmer_pop	SR	F	RE	RE1	-10.742	7.991	-13.583	6.099	2.01	3.616
lmer_pop	SR	F	RE	RE10	-9.036	-7.082	-3.247	5.988	2.003	3.594
lmer_pop	SR	F	RE	RE11	0.863	-3.433	-8.094	6.005	2.01	3.594
lmer_pop	SR	F	RE	RE12	-0.967	12.884	13.221	6.019	2.011	3.594
lmer_pop	SR	F	RE	RE13	9.59	6.055	8.928	5.986	2.026	3.594
lmer_pop	SR	F	RE	RE15	-4.46	-4.036	-16.989	6.025	2.003	3.596
lmer_pop	SR	F	RE	RE16	13.365	19.429	18.315	6.025	2.018	3.594
lmer_pop	SR	F	RE	RE17	-3.014	-15.532	11.288	6.025	1.995	3.594
lmer_pop	SR	F	RE	RE18	5.171	-3.567	2.092	6.014	2.003	3.594
lmer_pop	SR	F	RE	RE2	8.842	1.922	-0.965	5.988	1.425	3.594
lmer_pop	SR	F	RE	RE3	2.706	9.568	-2.478	6.017	2.117	3.594
lmer_pop	SR	F	RE	RE5	-13.125	-4.535	-7.845	6.032	1.995	3.594
lmer_pop	SR	F	RE	RE6	0.806	-7.974	-7.595	6	1.995	3.594
lmer_pop	SR	F	UM	UM13	-21.44	-4.26	2.406	4.306	2.018	3.598
lmer_pop	SR	F	UM	UM18	-2.247	3.005	-3.615	6	2.003	3.594
lmer_pop	SR	F	UM	UM20	3.527	10.523	7.506	6	1.995	3.594
lmer_pop	SR	F	UM	UM21	-3.292	-16.206	-17.08	6.015	2.003	3.596
lmer_pop	SR	F	UM	UM22	-1.614	-6.887	-24.154	6.093	2.003	3.594
lmer_pop	SR	F	UM	UM26	-0.755	-1.915	9.146	6.025	2.003	3.594
lmer_pop	SR	F	UM	UM29	12.63	-6.6	-3.845	5.813	2.003	3.594
lmer_pop	SR	F	UM	UM4	5.051	0.584	-1.495	5.988	2.003	3.595
lmer_pop	SR	F	UM	UM5	1.464	-4.629	5.384	5.914	2.01	3.596
lmer_pop	SR	F	UM	UM7	2.305	-3.597	9.352	6.013	2.01	3.594
lmer_pop	SR	F	UM	UM9	4.37	20.726	15.34	6	2.026	3.594
lmer_pop	SR	F	VA	VA11	13.126	17.257	9.527	6	2.003	3.599
lmer_pop	SR	F	VA	VA15	0.649	-10.343	2.98	5.974	1.427	3.594
lmer_pop	SR	F	VA	VA18	4.114	-1.075	-3.15	6.009	2.01	3.594
lmer_pop	SR	F	VA	VA22	21.112	10.052	-4.006	6	2.018	3.594
lmer_pop	SR	F	VA	VA26	-9.274	-10.294	-1.226	6.032	2.01	3.594
lmer_pop	SR	F	VA	VA30	-10.741	-12.123	2.125	6.032	2.01	3.594
lmer_pop	SR	F	VA	VA34	14.771	11.673	-2.48	5.966	2.003	3.598
lmer_pop	SR	F	VA	VA35	-3.66	-1.948	-0.228	5.992	2.01	3.594
lmer_pop	SR	F	VA	VA44	6.294	10.196	5.84	6.019	1.995	3.594
lmer_pop	SR	F	VA	VA46	9.483	25.339	0.77	6.019	2.003	3.594
lmer_pop	SR	F	VA	VA48	-11.584	8.159	5.689	5.988	2.003	3.594
lmer_pop	SR	F	VA	VA55	0.737	-10.243	8.398	5.988	2.018	3.594
lmer_pop	SR	F	VA	VA57	7.01	3.707	5.206	5.988	2.003	3.594
lmer_pop	SR	F	VA	VA66	-17.001	-17.159	1.982	4.322	2.01	3.594
lmer_pop	SR	F	VA	VA71	-12.545	-15.302	-13.345	5.988	1.988	3.594
lmer_pop	SR	F	VA	VA9	-12.491	-22.785	-4.861	5.988	2.01	3.594
lmer_pop	SR	F	YE	YE13	0.622	-2.015	7.746	5.977	2.01	3.759
lmer_pop	SR	F	YE	YE14	-8.379	-18.663	-12.377	6.005	2.01	3.594
lmer_pop	SR	F	YE	YE15	5.1	-0.19	-2.436	5.974	2.018	3.596
lmer_pop	SR	F	YE	YE19	6.26	-4.196	6.083	6.017	2.003	3.595
lmer_pop	SR	F	YE	YE20	-3.25	-7.086	-3.537	6.005	2.003	3.594
lmer_pop	SR	F	YE	YE21	6.66	3.3	5.069	5.99	2.003	3.594
lmer_pop	SR	F	YE	YE23	-7.27	-9.975	-11.592	5.978	2.003	3.682
lmer_pop	SR	F	YE	YE24	-0.727	-5.212	4.087	5.978	2.003	3.595
lmer_pop	SR	F	YE	YE26	3.504	17.213	-7.515	5.988	2.01	3.759
lmer_pop	SR	F	YE	YE27	3.411	6.565	-6.266	5.977	2.01	3.594
lmer_pop	SR	F	YE	YE40	-7.822	2.296	9.731	6.032	2.01	3.599
lmer_pop	SR	F	YE	YE48	-6.915	-13.528	5.913	5.988	2.003	3.596
lmer_pop	SR	F	YE	YE49	10.572	-1.463	1.173	5.977	2.003	3.769
lmer_pop	SR	F	YE	YE51	-4.942	-4.587	6.871	5.988	2.003	3.594
lmer_pop	SR	F	YE	YE80	3.175	16.967	3.01	6.022	2.003	3.604
lmer_pop	SR	F	GI	GI14	NA	20.29	5.282	NA	2.003	3.598
lmer_pop	SR	F	GI	GI2	NA	-5.055	-6.414	NA	2.011	3.594
lmer_pop	SR	F	KA	KA10	NA	-4.669	10.988	NA	2.01	3.594
lmer_pop	SR	F	KA	KA23	NA	-2.072	-3.717	NA	2.003	3.596
lmer_pop	SR	F	KA	KA24	NA	0.974	-0.818	NA	2.003	3.594
lmer_pop	SR	F	KA	KA25	NA	22.881	-0.785	NA	1.995	3.757
lmer_pop	SR	F	KA	KA28	NA	25.027	5.234	NA	2.003	3.594
lmer_pop	SR	F	KA	KA29	NA	18.389	4.449	NA	2.003	3.594
lmer_pop	SR	F	MU	MU16	NA	-18.879	-3.294	NA	2.003	3.756
lmer_pop	SR	F	RE	RE4	NA	-12.36	-9.342	NA	2.011	3.603
lmer_pop	SR	F	RE	RE7	NA	15.639	24.611	NA	2.01	3.594
lmer_pop	SR	F	RE	RE8	NA	-14.969	-8.316	NA	2.003	3.594
lmer_pop	SR	F	UM	UM17	NA	3.948	14.065	NA	2.01	3.594
lmer_pop	SR	F	UM	UM2	NA	-15.547	-22.807	NA	2.243	3.594
lmer_pop	SR	F	UM	UM23	NA	14.173	15.57	NA	2.003	3.596
lmer_pop	SR	F	UM	UM25	NA	35.191	16.485	NA	2.01	3.945
lmer_pop	SR	F	UM	UM28	NA	-34.561	-21.009	NA	2.003	3.594
lmer_pop	SR	F	UM	UM6	NA	6.051	-0.613	NA	2.003	3.596
lmer_pop	SR	F	VA	VA1	NA	-11.344	-12.133	NA	2.01	3.594
lmer_pop	SR	F	VA	VA47	NA	20.654	4.822	NA	2.003	3.594
lmer_pop	SR	F	VA	VA6	NA	11.008	-0.996	NA	2.018	3.639
lmer_pop	SR	F	VA	VA67	NA	-5.43	-4.917	NA	2.003	3.594
lmer_pop	SR	F	YE	YE11	NA	-5.134	-7.996	NA	2.003	3.599
lmer_pop	SR	F	YE	YE22	NA	2.139	-6.211	NA	2.01	3.757
lmer_pop	SR	F	YE	YE33	NA	25.089	12.523	NA	2.003	3.662
lmer_pop	SR	F	YE	YE41	NA	-2.322	-11.018	NA	2.003	3.598
lmer_pop	SR	F	YE	YE69	NA	0.802	6.74	NA	2.003	3.604
lmer_pop	SR	F	AK	AK19	NA	NA	1.444	NA	NA	3.596
lmer_pop	SR	F	AK	AK24	NA	NA	8.431	NA	NA	3.596
lmer_pop	SR	F	UM	UM24	NA	NA	-0.637	NA	NA	3.594
lmer_pop	SR	M	AK	AK1	5.777	7.512	-0.823	3.883	1.701	2.6
lmer_pop	SR	M	AK	AK10	0.703	-7.313	-1.027	3.996	1.696	2.6
lmer_pop	SR	M	AK	AK12	-7.161	-11.797	-3.555	4.014	1.69	2.6
lmer_pop	SR	M	AK	AK13	2.48	3.66	3.85	4.007	1.69	2.6
lmer_pop	SR	M	AK	AK14	8.642	3.321	12.13	3.987	1.69	2.602
lmer_pop	SR	M	AK	AK15	1.988	-2.2	-16.054	3.996	1.688	2.6
lmer_pop	SR	M	AK	AK16	13.509	9.812	2.269	4.069	1.685	2.6
lmer_pop	SR	M	AK	AK17	-11.388	5.183	9.062	3.073	1.696	2.603
lmer_pop	SR	M	AK	AK18	-4.816	-12.824	-3.4	4.015	1.803	2.6
lmer_pop	SR	M	AK	AK2	3.253	6.38	-5.784	3.996	1.688	2.6
lmer_pop	SR	M	AK	AK20	-2.628	-11.696	-7.941	3.996	1.685	2.6
lmer_pop	SR	M	AK	AK21	1.489	-0.515	2.065	4.007	1.685	2.6
lmer_pop	SR	M	AK	AK3	-9.069	6.894	0.59	4.086	1.697	2.497
lmer_pop	SR	M	AK	AK4	0.321	6.477	0.699	4.004	1.69	2.6
lmer_pop	SR	M	AK	AK5	4.417	8.033	5.179	4.103	1.685	2.603
lmer_pop	SR	M	AK	AK6	-4.748	-2.313	-1.447	3.987	1.696	2.601
lmer_pop	SR	M	AK	AK7	6.201	18.004	13.568	3.987	1.685	2.602
lmer_pop	SR	M	AK	AK8	-1.141	-7.862	2.772	4.026	1.685	2.6
lmer_pop	SR	M	AK	AK9	-7.829	-14.981	-9.932	3.988	1.717	2.602
lmer_pop	SR	M	GI	GI1	-0.122	-0.108	-11.709	3.999	1.69	2.601
lmer_pop	SR	M	GI	GI10	-0.285	11.803	0.646	4.087	1.696	2.6
lmer_pop	SR	M	GI	GI11	-10.547	-11.697	-8.209	4.135	1.69	2.6
lmer_pop	SR	M	GI	GI12	-3.315	-2.979	NA	3.999	1.69	NA
lmer_pop	SR	M	GI	GI13	-7.524	-16.148	-2.649	4.01	1.725	2.601
lmer_pop	SR	M	GI	GI14	5.93	15.615	-2.595	4.017	1.689	2.6
lmer_pop	SR	M	GI	GI15	-3.232	11.271	NA	3.996	1.69	NA
lmer_pop	SR	M	GI	GI2	1.564	-7.069	0.347	4.038	1.701	2.6
lmer_pop	SR	M	GI	GI3	3.828	-11.879	-0.732	3.999	1.685	2.6
lmer_pop	SR	M	GI	GI4	-3.194	-4.438	-3.728	3.991	1.685	2.601
lmer_pop	SR	M	GI	GI5	5.212	-9.627	8.279	4.07	1.685	2.601
lmer_pop	SR	M	GI	GI6	-1.879	-4.663	3.378	3.987	1.779	2.6
lmer_pop	SR	M	GI	GI7	0.592	1.897	2.869	3.999	1.696	2.6
lmer_pop	SR	M	GI	GI8	4.29	11.247	5.751	3.999	1.696	2.6
lmer_pop	SR	M	GI	GI9	8.681	16.773	8.351	4.04	1.685	2.601
lmer_pop	SR	M	KA	KA1	24.396	-2.367	-0.96	3.989	1.685	2.601
lmer_pop	SR	M	KA	KA10	3.941	6.922	7.219	3.996	1.68	2.6
lmer_pop	SR	M	KA	KA11	0.574	2.648	6.854	4.07	1.69	2.6
lmer_pop	SR	M	KA	KA13	-4.763	1.088	-7.448	3.979	1.69	2.6
lmer_pop	SR	M	KA	KA14	0.987	-12.772	-2.637	3.987	1.685	2.6
lmer_pop	SR	M	KA	KA15	-4.42	10.225	-5.694	4.021	1.68	2.603
lmer_pop	SR	M	KA	KA16	-1.637	6.568	4.697	4.016	1.69	2.6
lmer_pop	SR	M	KA	KA17	-3.76	-4.323	-4.875	4.006	1.691	2.719
lmer_pop	SR	M	KA	KA18	1.999	5.21	-9.569	4.007	1.69	2.621
lmer_pop	SR	M	KA	KA2	2.002	9.723	5.344	4.018	1.696	2.6
lmer_pop	SR	M	KA	KA3	-6.146	-4.941	6.71	4.063	1.69	2.6
lmer_pop	SR	M	KA	KA5	-7.072	-6.638	-0.336	4.005	1.685	2.6
lmer_pop	SR	M	KA	KA6	-7.025	-15.8	-2.2	4.098	1.685	2.6
lmer_pop	SR	M	KA	KA7	-0.087	4.388	3.336	4.07	1.685	2.6
lmer_pop	SR	M	KA	KA9	1.012	-3.825	0.467	4.03	1.68	2.6
lmer_pop	SR	M	MA	MA12	-4.944	3.857	6.048	4.095	1.69	2.6
lmer_pop	SR	M	MA	MA13	0.482	4.779	10.722	3.987	1.696	2.6
lmer_pop	SR	M	MA	MA16	1.675	0.866	0.225	4.03	1.685	2.6
lmer_pop	SR	M	MA	MA18	8.125	11.157	7.786	3.892	1.685	2.6
lmer_pop	SR	M	MA	MA19	-3.021	-9.497	-3.437	4.007	1.691	2.6
lmer_pop	SR	M	MA	MA20	0.451	-13.225	-10.094	3.977	1.685	2.602
lmer_pop	SR	M	MA	MA21	-5.109	12.011	-0.914	3.987	1.685	2.6
lmer_pop	SR	M	MA	MA23	-1.141	0.752	1.375	4.078	1.685	2.6
lmer_pop	SR	M	MA	MA26	-9.156	-0.258	-8.607	4.014	1.685	2.6
lmer_pop	SR	M	MA	MA27	3.714	-6.067	-0.135	4.036	1.69	2.6
lmer_pop	SR	M	MA	MA28	4.148	-4.295	-3.143	3.973	1.685	2.6
lmer_pop	SR	M	MA	MA3	-2.812	-3.864	-12.286	3.995	1.68	2.6
lmer_pop	SR	M	MA	MA30	-9.862	4.324	3.748	4.021	1.685	2.6
lmer_pop	SR	M	MA	MA31	3.559	-0.025	1.015	4.078	1.685	2.6
lmer_pop	SR	M	MA	MA32	9.687	8.206	10.075	4.07	1.685	2.6
lmer_pop	SR	M	MA	MA33	7.068	3.644	5.114	3.964	1.836	2.6
lmer_pop	SR	M	MA	MA5	2.585	6.111	-1.501	3.996	1.69	2.6
lmer_pop	SR	M	MA	MA6	-7.135	-16.719	-0.71	3.996	1.685	2.6
lmer_pop	SR	M	MA	MA7	-6.051	-3.053	-3.778	3.996	1.685	2.601
lmer_pop	SR	M	MA	MA9	7.739	1.295	-1.501	3.996	1.685	2.6
lmer_pop	SR	M	MU	MU1	6.556	1.486	-0.183	4.027	1.696	2.6
lmer_pop	SR	M	MU	MU10	-10.874	-19.305	-7.655	3.996	1.69	2.602
lmer_pop	SR	M	MU	MU11	11.321	8.085	-2.388	3.996	1.685	2.601
lmer_pop	SR	M	MU	MU12	0.079	4.202	3.766	4.018	1.713	2.6
lmer_pop	SR	M	MU	MU13	-2.558	-14.387	-14.551	4.026	1.884	2.6
lmer_pop	SR	M	MU	MU14	8.357	13.187	-2.91	4.004	1.69	2.602
lmer_pop	SR	M	MU	MU15	13.92	13.598	14.144	4.023	1.685	2.604
lmer_pop	SR	M	MU	MU17	1.686	3.193	4.566	4.018	1.685	2.605
lmer_pop	SR	M	MU	MU18	-7.375	0.257	2.423	3.987	1.71	2.602
lmer_pop	SR	M	MU	MU19	1.226	-7.445	4.784	3.993	1.685	2.6
lmer_pop	SR	M	MU	MU2	-11.354	4.082	-1.543	4.086	1.708	2.602
lmer_pop	SR	M	MU	MU20	9.971	-0.844	3.082	3.996	1.685	2.603
lmer_pop	SR	M	MU	MU3	-5.651	-6.475	-1.908	3.972	0.764	2.6
lmer_pop	SR	M	MU	MU4	-0.368	14.644	-3.85	3.987	1.702	2.6
lmer_pop	SR	M	MU	MU5	-8.897	2.689	-7.378	4.004	1.69	2.6
lmer_pop	SR	M	MU	MU6	2.673	-0.844	0.033	3.987	1.685	2.6
lmer_pop	SR	M	MU	MU7	-5.426	-6.499	-8.086	3.999	1.685	2.602
lmer_pop	SR	M	MU	MU8	2.712	6.532	12.25	3.987	1.685	2.6
lmer_pop	SR	M	MU	MU9	-5.998	-14.837	3.508	3.996	1.685	2.601
lmer_pop	SR	M	RE	RE1	-6.634	6.669	-7.385	4.078	1.685	2.603
lmer_pop	SR	M	RE	RE10	-5.205	7.036	-4.879	3.977	1.69	2.601
lmer_pop	SR	M	RE	RE11	5.599	-2.212	-0.445	4.006	1.696	2.6
lmer_pop	SR	M	RE	RE12	1.315	-0.78	11.525	4.015	1.68	2.602
lmer_pop	SR	M	RE	RE13	7.182	10.27	6.762	4.006	1.69	2.6
lmer_pop	SR	M	RE	RE15	-7.391	11.328	-6.977	4.087	1.685	2.602
lmer_pop	SR	M	RE	RE16	9.135	6.583	10.855	4.086	1.696	2.6
lmer_pop	SR	M	RE	RE18	9.135	-12.256	-7.839	4.086	1.69	2.6
lmer_pop	SR	M	RE	RE2	3.365	1.686	1.807	3.998	1.213	2.601
lmer_pop	SR	M	RE	RE3	-4.215	2.629	1.352	3.958	1.807	2.6
lmer_pop	SR	M	RE	RE4	-3.759	-13.907	-3.609	4.086	1.685	2.6
lmer_pop	SR	M	RE	RE5	-4.018	-9.481	-6.7	4.013	1.685	2.6
lmer_pop	SR	M	RE	RE6	-6.354	-0.397	-8.254	4.018	1.685	2.824
lmer_pop	SR	M	RE	RE7	0.749	16.298	20.334	4.084	1.685	2.6
lmer_pop	SR	M	RE	RE8	1.097	-11.5	-4.1	4.07	1.685	2.6
lmer_pop	SR	M	UM	UM13	-7.459	11.873	4.592	2.877	1.685	2.721
lmer_pop	SR	M	UM	UM17	-10.81	-5.52	-9.098	3.977	1.685	2.6
lmer_pop	SR	M	UM	UM18	-2.175	-8.213	-3.97	4.026	1.69	2.601
lmer_pop	SR	M	UM	UM20	13.041	6.63	-1.045	4.025	1.69	2.6
lmer_pop	SR	M	UM	UM21	-4.604	-10.024	-13.808	4.006	1.685	2.602
lmer_pop	SR	M	UM	UM22	-6.596	-6.108	-12.25	4.078	1.702	2.6
lmer_pop	SR	M	UM	UM23	-4.868	4.683	6.18	3.996	1.69	2.602
lmer_pop	SR	M	UM	UM26	-4.145	-5.596	5.941	3.991	1.69	2.6
lmer_pop	SR	M	UM	UM29	5.535	0.066	1.04	4.005	1.69	2.6
lmer_pop	SR	M	UM	UM4	2.977	6.438	10.77	3.987	1.685	2.601
lmer_pop	SR	M	UM	UM5	7.152	-7.151	-0.232	3.954	1.685	2.602
lmer_pop	SR	M	UM	UM7	-4.272	-7.204	0.824	4.006	1.685	2.6
lmer_pop	SR	M	UM	UM9	16.226	22.588	11.393	3.987	1.685	2.6
lmer_pop	SR	M	VA	VA1	-2.588	-2.521	-6.571	3.988	1.685	2.6
lmer_pop	SR	M	VA	VA11	8.864	7.628	13.057	4.015	1.69	2.6
lmer_pop	SR	M	VA	VA15	7.372	-2.653	9.462	3.995	1.198	2.6
lmer_pop	SR	M	VA	VA18	-8.249	-9.976	-12.108	3.987	1.685	2.6
lmer_pop	SR	M	VA	VA22	4.417	-1.357	0.834	4.018	1.685	2.6
lmer_pop	SR	M	VA	VA26	-6.302	2.603	-1.394	4.026	1.685	2.6
lmer_pop	SR	M	VA	VA30	5.566	-8.405	24.921	3.97	1.68	2.6
lmer_pop	SR	M	VA	VA34	5.639	20.861	2.704	3.997	1.69	2.6
lmer_pop	SR	M	VA	VA35	-5.762	-0.425	-3.983	4.005	1.685	2.6
lmer_pop	SR	M	VA	VA44	-1.708	12.62	7.432	3.987	1.685	2.72
lmer_pop	SR	M	VA	VA46	0.097	18.459	-1.466	4.006	1.69	2.6
lmer_pop	SR	M	VA	VA47	20.73	16.647	2.583	4.07	1.685	2.601
lmer_pop	SR	M	VA	VA48	-1.756	9.014	-4.414	4.041	1.69	2.6
lmer_pop	SR	M	VA	VA55	-0.837	-12.227	8.539	4.006	1.685	2.6
lmer_pop	SR	M	VA	VA57	5.534	-3.629	-11.221	4.006	1.68	2.601
lmer_pop	SR	M	VA	VA6	-7.123	0.818	2.272	4.063	1.685	2.6
lmer_pop	SR	M	VA	VA66	0.512	3.38	5.436	2.891	1.685	2.6
lmer_pop	SR	M	VA	VA67	-11.711	-15.19	-12.587	4.082	1.877	2.601
lmer_pop	SR	M	VA	VA71	-12.447	-25.905	-13.977	3.999	1.68	2.6
lmer_pop	SR	M	VA	VA9	-0.247	-9.743	-9.519	3.986	1.685	2.6
lmer_pop	SR	M	YE	YE11	-6.856	-10.52	-8.302	4.031	1.64	2.711
lmer_pop	SR	M	YE	YE13	4.226	0.183	7.949	4.107	1.685	2.604
lmer_pop	SR	M	YE	YE14	1.308	-5.283	-5.436	3.995	1.69	2.6
lmer_pop	SR	M	YE	YE15	-2.539	-2.09	-8.505	3.996	1.69	2.602
lmer_pop	SR	M	YE	YE19	2.397	-8.436	-1.358	3.987	1.685	2.605
