Model	Predictor	Trait	Lab	Sex	Population	Estimate	SE
lmer	pop	TL	Kozeretska	F	AK	929.300921541362	10.6164473886332
lmer	pop	TL	Kozeretska	F	GI	938.826417965102	13.6537623373642
lmer	pop	TL	Kozeretska	F	KA	904.491597111556	12.1619657939416
lmer	pop	TL	Kozeretska	F	MA	957.749722745386	10.3736570258148
lmer	pop	TL	Kozeretska	F	MU	930.407615082422	11.0753268789797
lmer	pop	TL	Kozeretska	F	RE	955.147826981091	12.0957080883189
lmer	pop	TL	Kozeretska	F	UM	938.674260530735	11.765078211787
lmer	pop	TL	Kozeretska	F	VA	949.522602011624	11.9163703705311
lmer	pop	TL	Kozeretska	F	YE	945.492485192003	11.4650586747103
lmer	pop	TL	Posnien	F	AK	885.172612500011	26.1452896773373
lmer	pop	TL	Posnien	F	GI	948.885212500014	26.1452896773368
lmer	pop	TL	Posnien	F	KA	921.325212500012	30.038650892669
lmer	pop	TL	Posnien	F	MA	880.494829166663	21.559958190406
lmer	pop	TL	Posnien	F	MU	870.739712500012	26.1452896773368
lmer	pop	TL	Posnien	F	RE	898.264020833322	26.1452896773368
lmer	pop	TL	Posnien	F	UM	909.933504166669	21.559958190406
lmer	pop	TL	Posnien	F	VA	896.424212500013	30.038650892669
lmer	pop	TL	Posnien	F	YE	946.353545833345	26.1452896773368
lmer	pop	TL	Ritchie	F	AK	950.516261201082	23.7926336837477
lmer	pop	TL	Ritchie	F	GI	975.030653617185	23.1715195567736
lmer	pop	TL	Ritchie	F	KA	930.621742664486	25.6444625690217
lmer	pop	TL	Ritchie	F	MA	974.379235055073	20.7349835388657
lmer	pop	TL	Ritchie	F	MU	962.73752572948	27.9126465313637
lmer	pop	TL	Ritchie	F	YE	979.127277188601	21.7490519868374
lmer	pop	TL	Schmidt	F	AK	994.423239732898	6.03827320722981
lmer	pop	TL	Schmidt	F	GI	1022.93616775285	6.89285814035278
lmer	pop	TL	Schmidt	F	KA	1007.01816814131	6.28112718594908
lmer	pop	TL	Schmidt	F	MA	1015.0360914256	5.84043294023698
lmer	pop	TL	Schmidt	F	MU	1004.56661985757	6.29778113636803
lmer	pop	TL	Schmidt	F	RE	1033.73799666697	6.97337936667324
lmer	pop	TL	Schmidt	F	UM	1010.80084973484	6.39637115775794
lmer	pop	TL	Schmidt	F	VA	1019.02013026307	7.71653837899539
lmer	pop	TL	Schmidt	F	YE	1009.4380159105	5.72606811050952
lmer	pop	TL	Kozeretska	M	AK	830.441403518009	9.95766623617536
lmer	pop	TL	Kozeretska	M	GI	832.607779293421	12.9812061914123
lmer	pop	TL	Kozeretska	M	KA	807.68234716871	11.4862371705251
lmer	pop	TL	Kozeretska	M	MA	858.060229408287	9.72032179550319
lmer	pop	TL	Kozeretska	M	MU	827.488596453178	10.4120694061757
lmer	pop	TL	Kozeretska	M	RE	856.83320261429	11.4248214026258
lmer	pop	TL	Kozeretska	M	UM	835.808289233814	11.0956155188125
lmer	pop	TL	Kozeretska	M	VA	853.602634886317	11.24772007842
lmer	pop	TL	Kozeretska	M	YE	842.546510848081	10.805258514789
lmer	pop	TL	Posnien	M	AK	764.198208333351	23.4420550391791
lmer	pop	TL	Posnien	M	GI	828.271441666655	23.4420550391787
lmer	pop	TL	Posnien	M	KA	812.859824999988	26.9328707472308
lmer	pop	TL	Posnien	M	MA	789.749975000005	19.3308138016152
lmer	pop	TL	Posnien	M	MU	743.707208333321	23.4420550391787
lmer	pop	TL	Posnien	M	RE	815.549658333346	23.4420550391787
lmer	pop	TL	Posnien	M	UM	817.569424999993	19.3308138016152
lmer	pop	TL	Posnien	M	VA	779.564424999989	26.9328707472308
lmer	pop	TL	Posnien	M	YE	806.60330833332	23.4420550391787
lmer	pop	TL	Ritchie	M	AK	819.702295496487	23.9004419434522
lmer	pop	TL	Ritchie	M	GI	830.543693563763	23.0071426013843
lmer	pop	TL	Ritchie	M	KA	795.160516937595	25.394068826906
lmer	pop	TL	Ritchie	M	MA	841.32608067803	20.3792001947053
lmer	pop	TL	Ritchie	M	MU	841.799373427493	28.5344187480193
lmer	pop	TL	Ritchie	M	YE	838.925201315175	21.5995319564134
