"","Trait","Sex","Moderator","R2","P"
"1","Pgm_T5","F","Population",0,0.998060698477634
"2","Pgm_T5","F","PC",62.4199645049045,2.45593114709558e-10
"3","Pgm_T5","F","Lab",94.0338577315998,3.50046904891297e-49
"4","Pgm_T5","F","Population + Lab",97.4675057312206,8.80097190249056e-76
"5","Pgm_T5","F","Population + PC",51.3572032710533,5.8853135909181e-05
