"Country","Population","Line","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"Turkey","YE","YE11",-1.10622087805055,-2.44785068495063,-1.39272720705329,2.3303338140294,-0.0654004152833637
"Turkey","YE","YE13",-1.30744891259307,-0.566083866213376,0.328880268527186,0.0914751335958051,0.758397972317196
"Turkey","YE","YE14",-2.22209438660567,-2.33561439327557,0.748459394194029,-1.0002511172986,-0.638393735664977
"Turkey","YE","YE15",0.201122085276759,-1.42571403271674,-2.32235086266734,-0.618679764424841,0.72864478738544
"Turkey","YE","YE19",-1.60486842894863,-0.361060373942646,-1.31632630620639,-0.875071687981706,0.720412928583633
"Turkey","YE","YE20",-1.51493058426221,-1.06398692118418,-1.0969021159944,-0.169343474994794,-0.000734255418516218
"Turkey","YE","YE21",0.575352859508947,-1.0774766984993,0.423582745468716,-0.642943801148454,0.391733102676288
"Turkey","YE","YE22",-1.72439133029318,-0.605384094110702,-1.1108970917528,0.513747795168222,0.0588092337683481
"Turkey","YE","YE23",-1.36268607418087,-1.9787013354587,-1.11749840283198,0.780811201083036,-0.109199290611103
"Turkey","YE","YE24",0.284367984542543,-1.81619080877365,-0.474277266402631,0.0853749965944178,-0.123956055256135
"Turkey","YE","YE26",-1.04027876357286,-0.729091175416746,-0.810332487511503,0.0654694753981172,0.0514598922505436
"Turkey","YE","YE27",0.988225116307006,-2.19092181930022,-0.859778103139934,-1.16859818206399,-1.02556365341266
"Turkey","YE","YE33",0.458852085247068,0.583990782941964,0.280641911607852,0.721554293913826,-0.536955333092109
"Turkey","YE","YE40",-1.16604070325958,-1.45153379855137,-0.859354699881866,0.633379518288536,-0.831971821198647
"Turkey","YE","YE41",-0.665090249318525,-1.54490345674043,-1.9839016671825,-0.0732126628609998,2.05318313463832
"Turkey","YE","YE48",-2.66437255204746,-1.5450149718817,0.37565440494389,0.700509486749825,-0.401605334921876
"Turkey","YE","YE49",-1.92632701873951,-0.85559734178662,1.29879500335659,-0.693565897965328,1.31996785565028
"Turkey","YE","YE51",-1.81953543412148,-1.10943847046263,0.165241932781653,0.343797952749075,1.35256368185999
"Turkey","YE","YE69",-0.388065410139969,-0.27635448634081,-0.815033451324744,0.429079153392651,1.81832887898761
"Turkey","YE","YE80",0.00472365131071547,0.505852343296245,-0.919951830160526,-0.556286525677655,-0.167005114240135
"Portugal","RE","RE10",1.30363109943258,-1.9516016497602,-1.24706655972358,0.981267490206339,-2.47037371923922
"Portugal","RE","RE11",0.934705650142339,-1.02436578377751,0.721329385366895,0.630692724101065,-0.268860578139866
"Portugal","RE","RE12",0.794794625258203,0.268494637340435,-0.214598099851405,-0.25537336625838,-0.355139022106854
"Portugal","RE","RE13",1.79429478086278,0.828816151609338,0.392507370282809,1.37458920706072,-0.889268056557092
"Portugal","RE","RE15",-0.357998107144169,-1.42945882323163,-0.858784764145162,1.08034546412914,-0.358440164454132
"Portugal","RE","RE16",2.07298014818316,0.107683411717207,-1.5136750165315,0.304980267412228,-0.998447733927971
"Portugal","RE","RE17",0.939622900927389,-1.27973616832092,1.30570241172374,0.142438314606469,-1.01966611041408
"Portugal","RE","RE18",2.01346308697386,-0.716974652664164,-1.51073002357597,-0.498513065738008,0.936061753765971
"Portugal","RE","RE2",3.68761755272862,-0.22044932228008,-0.165297428698307,-0.474982296360191,-0.555253958417469
"Portugal","RE","RE3",1.96280199562783,-1.08977087636145,0.165106504668375,1.88481891993086,-1.08642423908137
"Portugal","RE","RE4",2.282363318218,-1.80791055788286,-1.31462868419476,-0.740463480263366,0.503154201804119
"Portugal","RE","RE5",0.684422634809722,-0.56414038706769,-0.709002765645418,0.0548018416155787,-0.448645956480746
"Portugal","RE","RE6",1.98758795094491,-1.18007259532195,1.5428750241488,0.165335419391404,-1.10068670254646
"Portugal","RE","RE7",3.89112899810991,0.236663256395254,0.468618449975061,0.0486453721392575,-0.738680746066595
"Spain","GI","GI1",0.621621850532432,-0.726404897768709,0.394984515827889,-0.0677467348323318,-1.68526377702949
"Spain","GI","GI10",0.715033478233306,-0.688826192978514,0.21642322324844,-0.389994464690577,-0.907056601541018
"Spain","GI","GI11",-1.23213515976893,0.0194156006223173,-0.787406772866679,-0.103698287431197,-0.688693970869049
"Spain","GI","GI12",-2.06100685161688,-1.08320833042016,-1.73543079064351,1.20562874829505,-1.20970152693233
"Spain","GI","GI13",0.185824538232001,-0.390032932765401,-1.73807818465735,0.356947396083805,-0.193217120377885
"Spain","GI","GI14",1.60818579186232,1.26054295160582,-2.05728923730624,0.501586296080201,-2.95451318607399
"Spain","GI","GI15",-0.141987838529023,0.853260651173453,-1.27506525136754,0.683593164827062,-0.0411674025594916
"Spain","GI","GI2",-1.22728297083305,0.488787324051244,-1.15628484303871,-0.330177865780983,0.10741693793668
"Spain","GI","GI3",-1.98477008156867,0.106468036895138,-0.645121280094255,-0.702840538371885,-1.09233911029919
"Spain","GI","GI4",-1.2996704545937,-0.819554028264117,0.372833509292829,0.736303897646845,-0.211643956923047
"Spain","GI","GI5",0.704689738356914,-0.520566655950335,-2.25947281405184,0.132051469556567,-0.228857055963647
