Supervisor.PI	Diet	Batch	Population	Line	Sex	ReplicateVialOld	ReplicateVial	Individual	CentroidSizeLeft_micrometers	CentroidSizeRight_micrometers	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	Color	StatusT	StatusM	Wolbachia	PC.ratio	DevAssym	AvArea
Onder	NS	1	AK	AK1	F	3	Onder_1_AK1_3	26	2901.08315930819	2885.42433853054	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	15.6588207776499	2893.25374891936
Onder	NS	1	AK	AK1	F	3	Onder_1_AK1_3	27	2687.13078752174	2688.27989114675	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	1.14910362500996	2687.70533933424
Onder	NS	1	AK	AK1	F	3	Onder_1_AK1_3	28	2868.97722359415	2868.90568052873	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	0.0715430654199736	2868.94145206144
Onder	NS	1	AK	AK1	F	3	Onder_1_AK1_3	29	2912.53143416341	2893.80421346863	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	18.7272206947796	2903.16782381602
Onder	NS	1	AK	AK1	F	3	Onder_1_AK1_3	30	2870.81568923433	2866.93193145774	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	3.88375777658985	2868.87381034604
Onder	NS	1	AK	AK1	M	1	Onder_1_AK1_1	1	2536.73956274033	2557.95609868504	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	21.2165359447104	2547.34783071269
Onder	NS	1	AK	AK1	M	1	Onder_1_AK1_1	2	2455.17901579669	2441.2262045808	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	13.9528112158896	2448.20261018874
Onder	NS	1	AK	AK1	M	1	Onder_1_AK1_1	3	2470.04235698945	2462.73466142278	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	7.30769556667019	2466.38850920612
Onder	NS	1	AK	AK1	M	1	Onder_1_AK1_1	4	2471.63144066853	2471.08752746907	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	0.543913199459894	2471.3594840688
Onder	NS	1	AK	AK1	M	1	Onder_1_AK1_1	5	2524.98148948676	2535.11985220675	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	10.1383627199898	2530.05067084675
Onder	NS	1	AK	AK1	M	1	Onder_1_AK1_1	6	2426.55423052855	2444.68084046487	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	18.1266099363202	2435.61753549671
Onder	NS	1	AK	AK1	M	1	Onder_1_AK1_1	7	2477.35773808443	2480.04505620765	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	2.68731812321994	2478.70139714604
Onder	NS	1	AK	AK1	M	1	Onder_1_AK1_1	8	2198.18129212665	2194.68045998874	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	3.50083213791004	2196.4308760577
Onder	NS	1	AK	AK1	M	1	Onder_1_AK1_1	9	2523.04591335869	2524.406823427	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	1.36091006830975	2523.72636839284
Onder	NS	1	AK	AK1	M	1	Onder_1_AK1_1	10	2430.01100991506	2448.5856001532	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	18.57459023814	2439.29830503413
Onder	NS	1	AK	AK1	M	2	Onder_1_AK1_2	11	2490.20717694733	2490.87956913722	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	0.672392189890161	2490.54337304228
Onder	NS	1	AK	AK1	M	2	Onder_1_AK1_2	12	2603.51616165646	2585.67952968368	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	17.8366319727802	2594.59784567007
Onder	NS	1	AK	AK1	M	2	Onder_1_AK1_2	13	2386.70624330561	2387.75064215424	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	1.04439884862995	2387.22844272992
Onder	NS	1	AK	AK1	M	2	Onder_1_AK1_2	14	2419.62269602523	2423.99971119949	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	4.37701517425967	2421.81120361236
Onder	NS	1	AK	AK1	M	2	Onder_1_AK1_2	15	2482.50915852377	2496.7964205177	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	14.2872619939299	2489.65278952074
Onder	NS	1	AK	AK1	M	2	Onder_1_AK1_2	16	2508.90011596723	2490.9795802487	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	17.9205357185297	2499.93984810797
Onder	NS	1	AK	AK1	M	2	Onder_1_AK1_2	17	2501.23645872077	2493.44821027115	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	7.78824844961991	2497.34233449596
Onder	NS	1	AK	AK1	M	2	Onder_1_AK1_2	18	2519.4808492043	2514.30913808935	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	5.17171111494963	2516.89499364683
Onder	NS	1	AK	AK1	M	2	Onder_1_AK1_2	19	2493.09680543456	2498.35833882123	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	5.26153338667018	2495.72757212789
Onder	NS	1	AK	AK1	M	2	Onder_1_AK1_2	20	2471.35689345873	2449.44358846959	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	21.9133049891402	2460.40024096416
Onder	NS	1	AK	AK1	M	3	Onder_1_AK1_3	21	2425.33074009422	2429.28515795614	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	3.95441786192032	2427.30794902518
Onder	NS	1	AK	AK1	M	3	Onder_1_AK1_3	22	2469.81097830947	2455.177868346	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	14.6331099634699	2462.49442332774
Onder	NS	1	AK	AK1	M	3	Onder_1_AK1_3	23	2348.58648285057	2351.08514224883	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	2.49865939825986	2349.8358125497
Onder	NS	1	AK	AK1	M	3	Onder_1_AK1_3	24	2376.77214827295	2361.45626163332	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	15.3158866396298	2369.11420495313
Onder	NS	1	AK	AK1	M	3	Onder_1_AK1_3	25	2324.24113749404	2330.64118057199	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	6.40004307795016	2327.44115903301
Onder	NS	1	AK	AK1	M	3	Onder_1_AK1_3	26	2384.99594903203	2400.0487785698	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	15.0528295377703	2392.52236380091
Onder	NS	1	AK	AK1	M	3	Onder_1_AK1_3	27	2498.21190515513	2523.7041343415	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	25.49222918637	2510.95801974831
Onder	NS	1	AK	AK1	M	3	Onder_1_AK1_3	28	2467.04742350811	2475.88189152156	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	8.83446801345008	2471.46465751484
Onder	NS	1	AK	AK1	M	3	Onder_1_AK1_3	29	2448.76343433987	2453.37406850566	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	4.61063416579009	2451.06875142276
Onder	NS	1	AK	AK1	M	3	Onder_1_AK1_3	30	2480.82759924659	2474.21973923781	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	6.60786000878034	2477.5236692422
Onder	NS	2	AK	AK10	F	1	Onder_2_AK10_1	1	2738.71439516537	2739.13931845877	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	0.424923293399843	2738.92685681207
Onder	NS	2	AK	AK10	F	1	Onder_2_AK10_1	2	2675.04060848885	2662.99918669496	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	12.0414217938901	2669.0198975919
Onder	NS	2	AK	AK10	F	1	Onder_2_AK10_1	3	2847.0714437491	2834.91663386337	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	12.1548098857302	2840.99403880624
Onder	NS	2	AK	AK10	F	1	Onder_2_AK10_1	4	2823.25936834284	2707.84086966254	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	115.4184986803	2765.55011900269
Onder	NS	2	AK	AK10	F	1	Onder_2_AK10_1	5	2817.21181424244	2789.6800072741	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	27.5318069683403	2803.44591075827
Onder	NS	2	AK	AK10	F	1	Onder_2_AK10_1	6	2819.02621990524	2866.17504918154	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	47.1488292763001	2842.60063454339
Onder	NS	2	AK	AK10	F	1	Onder_2_AK10_1	7	2684.90560417196	2681.41810736424	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	3.48749680772016	2683.1618557681
Onder	NS	2	AK	AK10	F	1	Onder_2_AK10_1	8	2811.3370070374	2791.34809170336	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	19.98891533404	2801.34254937038
Onder	NS	2	AK	AK10	F	1	Onder_2_AK10_1	9	2796.9314556131	2788.94349113014	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	7.9879644829598	2792.93747337162
Onder	NS	2	AK	AK10	F	2	Onder_2_AK10_2	10	2642.36690128112	2633.89055369702	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	8.47634758410004	2638.12872748907
Onder	NS	2	AK	AK10	F	2	Onder_2_AK10_2	11	2733.5033614786	2730.65074352192	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	2.85261795667975	2732.07705250026
Onder	NS	2	AK	AK10	F	2	Onder_2_AK10_2	12	2691.66011544392	2673.72270822672	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	17.9374072172	2682.69141183532
Onder	NS	2	AK	AK10	F	2	Onder_2_AK10_2	13	2761.03983425303	2787.25701365755	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	26.2171794045198	2774.14842395529
Onder	NS	2	AK	AK10	F	2	Onder_2_AK10_2	14	2686.45942613783	2677.06358492771	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	9.39584121012012	2681.76150553277
Onder	NS	2	AK	AK10	F	2	Onder_2_AK10_2	15	2816.28995423781	2820.99939000639	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	4.70943576858008	2818.6446721221
Onder	NS	2	AK	AK10	F	2	Onder_2_AK10_2	16	2810.03456859	2835.17288772837	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	25.1383191383698	2822.60372815919
Onder	NS	2	AK	AK10	F	2	Onder_2_AK10_2	17	2700.81609014009	2702.98440140005	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	2.16831125995986	2701.90024577007
Onder	NS	2	AK	AK10	F	2	Onder_2_AK10_2	18	2757.41335483826	2777.09062878531	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	19.6772739470498	2767.25199181179
Onder	NS	2	AK	AK10	F	2	Onder_2_AK10_2	19	2743.4588118461	2748.1788282562	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	4.72001641010002	2745.81882005115
Onder	NS	2	AK	AK10	F	3	Onder_2_AK10_3	20	2771.47712227613	2766.1622852143	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	5.31483706183008	2768.81970374522
Onder	NS	2	AK	AK10	F	3	Onder_2_AK10_3	21	2827.46011697389	2836.20454434457	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	8.74442737068011	2831.83233065923
Onder	NS	2	AK	AK10	F	3	Onder_2_AK10_3	22	2797.02733210314	2794.29012039681	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	2.73721170633007	2795.65872624998
Onder	NS	2	AK	AK10	F	3	Onder_2_AK10_3	23	2822.21306155917	2811.66438317705	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	10.5486783821202	2816.93872236811
Onder	NS	2	AK	AK10	F	3	Onder_2_AK10_3	24	2704.0651515901	2709.03981424231	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	4.9746626522101	2706.55248291621
Onder	NS	2	AK	AK10	F	3	Onder_2_AK10_3	25	2819.29232019633	2791.52585999693	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	27.7664601993997	2805.40909009663
Onder	NS	2	AK	AK10	F	3	Onder_2_AK10_3	26	2783.59485741298	2769.29718734209	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	14.29767007089	2776.44602237753
Onder	NS	2	AK	AK10	F	3	Onder_2_AK10_3	27	2780.25098984088	2776.37709484926	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	3.87389499161964	2778.31404234507
Onder	NS	2	AK	AK10	F	3	Onder_2_AK10_3	28	2888.71263902438	2880.41030861577	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	8.30233040861003	2884.56147382008
Onder	NS	2	AK	AK10	F	3	Onder_2_AK10_3	29	2718.54661093681	2756.88991269242	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	38.3433017556099	2737.71826181461
Onder	NS	2	AK	AK10	F	3	Onder_2_AK10_3	30	2570.57801423283	2563.44578416209	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	7.13223007073975	2567.01189919746
Onder	NS	2	AK	AK10	F	3	Onder_2_AK10_3	31	2718.85599920702	2732.59567851704	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	13.7396793100202	2725.72583886203
Onder	NS	2	AK	AK10	M	1	Onder_2_AK10_1	1	2351.73741633483	2337.65616047014	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	14.0812558646899	2344.69678840249
Onder	NS	2	AK	AK10	M	1	Onder_2_AK10_1	2	2183.43704737599	2152.13729979869	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	31.2997475773	2167.78717358734
Onder	NS	2	AK	AK10	M	1	Onder_2_AK10_1	3	2414.95526260923	2425.56669686232	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	10.61143425309	2420.26097973577
Onder	NS	2	AK	AK10	M	1	Onder_2_AK10_1	4	2059.33266986284	2077.4985240454	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	18.16585418256	2068.41559695412
Onder	NS	2	AK	AK10	M	1	Onder_2_AK10_1	5	2168.97729276164	2172.20941518492	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	3.23212242328009	2170.59335397328
Onder	NS	2	AK	AK10	M	1	Onder_2_AK10_1	6	2402.48704819568	2416.41188760923	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	13.9248394135498	2409.44946790245
Onder	NS	2	AK	AK10	M	1	Onder_2_AK10_1	7	2464.17689833802	2463.38645188448	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.179	0.790446453539971	2463.78167511125
