"","Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"252","Gibert","2","F","VA","VA6",226,12.5432584814845,226,216,264,2.87762084965792,0.0555011437233828,216
"253","Gibert","2","F","VA","VA66",226.410256410256,6.60429664256913,226,216,250,1.05753382855573,0.0291696001200675,226
"254","Gibert","2","F","VA","VA71",221.466666666667,6.94654917599706,226,202,240,1.03553041110497,0.0313661160866815,226
"255","Gibert","2","F","YE","YE13",224.787878787879,9.66875630496748,226,216,250,1.68311443357561,0.0430128010331527,226
"256","Gibert","2","F","YE","YE15",209.371428571429,8.02600814369691,202,202,226,1.35664298622623,0.0383338271055393,202
"257","Gibert","2","F","YE","YE19",208.702702702703,7.54565682607796,202,202,226,1.24049834076097,0.0361550508372034,202
"258","Gibert","2","F","YE","YE20",206.666666666667,6.79099750101732,202,202,216,1.60065346133008,0.0328596653275032,202
"259","Gibert","2","F","YE","YE22",223.69696969697,12.3806422705085,216,202,250,2.15519318567616,0.0553455967118372,216
"260","Gibert","2","F","YE","YE24",219.333333333333,11.1415139605591,216,202,240,2.43127767050806,0.0507971761119716,216
"261","Gibert","2","F","YE","YE40",213,6.22964771381961,216,202,226,0.899172196132572,0.0292471723653503,216
"262","Gibert","2","F","YE","YE41",217.916666666667,9.44511222418962,216,202,240,1.92797545938237,0.0433427712008702,216
"263","Gibert","2","F","YE","YE49",226.903225806452,16.0817802470367,226,202,250,2.88837299839724,0.0708750622203777,226
"264","Gibert","2","F","YE","YE51",214.56,6.23217458035315,216,202,226,1.24643491607063,0.0290463021082828,216
"265","Gibert","2","F","YE","YE69",226.769230769231,12.8768693859255,226,202,274,2.0619493215575,0.0567840237506893,226
"266","Gibert","2","M","AK","AK11",229.609756097561,7.10238709442286,226,216,240,1.1092065109251,0.030932427328589,226
"267","Gibert","2","M","AK","AK12",225.478260869565,7.77957191177219,226,202,250,1.14703530071938,0.0345025364386349,226
"268","Gibert","2","M","AK","AK13",230.755555555556,11.6407504357353,226,216,264,1.73530061889429,0.0504462412950777,226
"269","Gibert","2","M","AK","AK14",234.877192982456,11.0713113422527,240,216,264,1.46643101079549,0.0471365959447567,240
"270","Gibert","2","M","AK","AK16",225.791666666667,6.15044829133594,226,216,240,0.88774074415992,0.0272394831135011,226
"271","Gibert","2","M","AK","AK5",228.8,8.96004201670821,226,202,250,1.51452352659344,0.0391610228002981,226
"272","Gibert","2","M","AK","AK6",230.05,11.7188211536301,226,216,264,1.85290831688166,0.0509403223370143,226
"273","Gibert","2","M","AK","AK8",232.264150943396,9.96175560561534,226,226,264,1.36835236790634,0.0428897682451351,226
"274","Gibert","2","M","AK","AK9",224.651162790698,9.52911258779974,226,202,250,1.45317604617789,0.0424173748732287,226
"275","Gibert","2","M","GI","GI10",231.2,8.81490579090691,226,216,250,1.39375898295369,0.0381267551509814,226
"276","Gibert","2","M","GI","GI13",230.914285714286,21.1401088379571,216,216,274,3.57333058596467,0.0915495928394579,216
"277","Gibert","2","M","GI","GI2",224.521739130435,10.2799462394504,226,202,264,1.51569538271174,0.0457859727938341,226
"278","Gibert","2","M","GI","GI3",226.809523809524,11.9679207298921,226,202,274,1.84669026070311,0.0527663941481699,226
"279","Gibert","2","M","GI","GI6",241.384615384615,13.6090467647868,240,226,274,2.66895365442479,0.05637909749593,226
"280","Gibert","2","M","GI","GI8",224.727272727273,7.31126155013931,226,202,240,1.27272727272727,0.0325339308460892,226
"281","Gibert","2","M","KA","KA1",230.833333333333,10.3321644967744,226,216,264,2.10904424629979,0.044760279408409,226
"282","Gibert","2","M","KA","KA11",230.342857142857,12.0926396114789,226,202,264,2.044029163708,0.0524984354256714,226
"283","Gibert","2","M","KA","KA14",232.444444444444,9.74021534011414,226,226,264,1.87450531619327,0.0419034120750608,226
"284","Gibert","2","M","KA","KA18",224.045454545455,10.0462987409909,226,216,264,1.51453652071303,0.0448404488337998,226
"285","Gibert","2","M","KA","KA2",228.909090909091,9.42490067017717,226,216,250,1.42085723678849,0.0411731165099082,226
"286","Gibert","2","M","KA","KA25",231.842105263158,11.1440841554744,226,226,274,1.80780916890187,0.0480675593539191,226
"287","Gibert","2","M","KA","KA28",228.56,9.62174408221677,226,216,274,1.3607200974754,0.0420972352214595,226
"288","Gibert","2","M","KA","KA29",230.392156862745,11.6276883882783,226,202,264,1.62820204733898,0.0504691155576335,226
"289","Gibert","2","M","KA","KA5",232.25,7.8088578466742,226,226,250,1.59397643319003,0.0336226387370256,226
"290","Gibert","2","M","KA","KA6",238.716981132075,13.4513044241507,240,202,264,1.84767876154683,0.0563483350047412,240
