"Trait","Sex","Population","Mstar","SEMstar","Q","p","LLMstar","ULMstar"
"CCRT","F","YE",1686.70423467586,209.174308054213,8.72882191585759,0.365686188364968,1276.73012439851,2096.6783449532
"CCRT","F","RE",1534.08273940086,109.350754490528,8.72882191585759,0.365686188364968,1319.75919891714,1748.40627988457
"CCRT","F","GI",1516.87888705863,59.9099408047509,8.72882191585759,0.365686188364968,1399.45756076539,1634.30021335186
"CCRT","F","MU",1646.03012509146,119.765957752656,8.72882191585759,0.365686188364968,1411.29316132231,1880.76708886061
"CCRT","F","MA",1541.05970517782,249.376255862657,8.72882191585759,0.365686188364968,1052.29122508757,2029.82818526807
"CCRT","F","UM",1785.86494594991,83.6372385127359,8.72882191585759,0.365686188364968,1621.93897069856,1949.79092120125
"CCRT","F","KA",1515.26339852745,133.273099039921,8.72882191585759,0.365686188364968,1254.05292430116,1776.47387275373
"CCRT","F","VA",1555.8086413253,159.25426781985,8.72882191585759,0.365686188364968,1243.6760120141,1867.9412706365
"CCRT","F","AK",1701.25018571169,125.509187869228,8.72882191585759,0.365686188364968,1455.25669775914,1947.24367366425
"CCRT","M","YE",1729.43218574885,87.0876083670758,12.1850582862245,0.143136066456496,1558.74360984965,1900.12076164805
"CCRT","M","RE",1542.85739581391,53.5391159173243,12.1850582862245,0.143136066456496,1437.92265685184,1647.79213477598
"CCRT","M","GI",1752.73610891779,100.00700110942,12.1850582862245,0.143136066456496,1556.72598854147,1948.74622929411
"CCRT","M","MU",1690.6174848464,48.4340606410537,12.1850582862245,0.143136066456496,1595.6884703649,1785.54649932789
"CCRT","M","MA",1479.49035428305,154.497139052036,12.1850582862245,0.143136066456496,1176.68152602658,1782.29918253952
"CCRT","M","UM",1610.44019045567,50.4700149471855,12.1850582862245,0.143136066456496,1511.52077885999,1709.35960205136
"CCRT","M","KA",1598.67147804631,157.753531150798,12.1850582862245,0.143136066456496,1289.48023855673,1907.86271753589
"CCRT","M","VA",1526.7570994028,48.4796204870555,12.1850582862245,0.143136066456496,1431.738789264,1621.7754095416
"CCRT","M","AK",1666.77137622549,109.861918512238,12.1850582862245,0.143136066456496,1451.44597266903,1882.09677978195
"CSM","F","YE",1.15514641573156,0.132666590228196,1.04933500507238,0.99791704585895,0.89512467693256,1.41516815453056
"CSM","F","RE",1.11243469462784,0.131501995871026,1.04933500507238,0.99791704585895,0.854695518825495,1.37017387043019
"CSM","F","GI",1.11213376778577,0.100781324504891,1.04933500507238,0.99791704585895,0.91460600144194,1.3096615341296
"CSM","F","MU",1.1554052905432,0.138108599521605,1.04933500507238,0.99791704585895,0.884717409525585,1.42609317156081
"CSM","F","MA",1.11725246315731,0.146920615576679,1.04933500507238,0.99791704585895,0.829293348040564,1.40521157827405
"CSM","F","UM",1.03150612436778,0.127441863530515,1.04933500507238,0.99791704585895,0.781724661725301,1.28128758701026
"CSM","F","KA",1.1318053165812,0.164125132949749,1.04933500507238,0.99791704585895,0.81012596704184,1.45348466612055
"CSM","F","VA",1.16153724420328,0.158242199017911,1.04933500507238,0.99791704585895,0.851388233293751,1.4716862551128
"CSM","F","AK",1.19307412045535,0.11776947890425,1.04933500507238,0.99791704585895,0.962250183324972,1.42389805758573
"CSM","M","YE",1.18720593225622,0.0996325066068112,4.7331894067813,0.78567534018057,0.991929807617426,1.38248205689502
"CSM","M","RE",1.00843323751678,0.0760999095670785,4.7331894067813,0.78567534018057,0.859280155538547,1.157586319495
"CSM","M","GI",1.04364118541197,0.0548663736063162,4.7331894067813,0.78567534018057,0.936105069181276,1.15117730164267
"CSM","M","MU",1.07293907941216,0.125043989859914,4.7331894067813,0.78567534018057,0.827857362803535,1.31802079602078
"CSM","M","MA",1.00798597096488,0.0583526886170654,4.7331894067813,0.78567534018057,0.893616802874351,1.12235513905541
"CSM","M","UM",0.947124224936917,0.0697615251106671,4.7331894067813,0.78567534018057,0.810394148213422,1.08385430166041
"CSM","M","KA",1.05478971978891,0.0519118945613454,4.7331894067813,0.78567534018057,0.953044276079428,1.15653516349838
"CSM","M","VA",1.01900328729615,0.0925354300376042,4.7331894067813,0.78567534018057,0.837637177128519,1.20036939746378
"CSM","M","AK",1.00100899859511,0.0661813004401025,4.7331894067813,0.78567534018057,0.871296033282486,1.13072196390774
"DT_A","F","YE",226.604375308896,4.05201040557613,7.60793915554046,0.472673054321964,218.662580848985,234.546169768807
"DT_A","F","RE",249.772081420676,15.0152659142282,7.60793915554046,0.472673054321964,220.342701010497,279.201461830855
"DT_A","F","GI",231.943556171284,3.75966782199765,7.60793915554046,0.472673054321964,224.574742646335,239.312369696234
"DT_A","F","MU",240.001102410751,13.4303578513032,7.60793915554046,0.472673054321964,213.678084722712,266.32412009879
"DT_A","F","MA",229.620015430454,4.18109711848651,7.60793915554046,0.472673054321964,221.425215662356,237.814815198552
"DT_A","F","UM",230.738900530615,5.43843577092085,7.60793915554046,0.472673054321964,220.079762287376,241.398038773854
"DT_A","F","KA",225.744087434314,2.10633721416786,7.60793915554046,0.472673054321964,221.615742355248,229.872432513379
"DT_A","F","VA",234.584541817547,5.52088271717577,7.60793915554046,0.472673054321964,223.763810529012,245.405273106081
"DT_A","F","AK",240.025213438366,14.3004144723308,7.60793915554046,0.472673054321964,211.996916108602,268.053510768129
"DT_A","M","YE",231.356430140151,4.58105910556456,8.74584993135618,0.364187396120438,222.377719282195,240.335140998107
"DT_A","M","RE",253.009760948306,15.0031960617379,8.74584993135618,0.364187396120438,223.604037014306,282.415484882305
"DT_A","M","GI",239.404200054603,4.21953150661124,8.74584993135618,0.364187396120438,231.134070270012,247.674329839193
"DT_A","M","MU",245.518699233246,13.6907714063991,8.74584993135618,0.364187396120438,218.685280356133,272.352118110359
"DT_A","M","MA",234.042728106535,4.53625860374139,8.74584993135618,0.364187396120438,225.151824618642,242.933631594428
"DT_A","M","UM",235.498239042783,5.48936272347488,8.74584993135618,0.364187396120438,224.739285806696,246.257192278871
"DT_A","M","KA",229.47065999697,2.70361935807446,8.74584993135618,0.364187396120438,224.171663427239,234.769656566702
"DT_A","M","VA",239.732064517739,6.1130172810347,8.74584993135618,0.364187396120438,227.75077081004,251.713358225438
"DT_A","M","AK",246.246484747092,14.6172217931647,8.74584993135618,0.364187396120438,217.597256478455,274.895713015729
"Dia","F","YE",1.94448335307361,0.944842477051059,1.43439332904573,0.993744457710443,0.092626126989926,3.7963405791573
"Dia","F","RE",1.81313864120826,1.04726549647499,1.43439332904573,0.993744457710443,-0.239464014134169,3.8657412965507
"Dia","F","GI",1.53679449215283,1.01232820269308,1.43439332904573,0.993744457710443,-0.447332325659761,3.52092130996543
"Dia","F","MU",2.30865418507883,1.17014704431738,1.43439332904573,0.993744457710443,0.0152081216007587,4.6021002485569
"Dia","F","MA",1.89039412474926,0.901272993997461,1.43439332904573,0.993744457710443,0.123931516275648,3.65685673322286
"Dia","F","UM",2.93960046717975,1.01111142332494,1.43439332904573,0.993744457710443,0.957858493105839,4.92134244125366
"Dia","F","KA",1.90308797598011,1.19902910258166,1.43439332904573,0.993744457710443,-0.446965881495326,4.25314183345555
"Dia","F","VA",1.97059837884916,0.760245394566911,1.43439332904573,0.993744457710443,0.480544786085569,3.46065197161275
"Dia","F","AK",1.38391421724751,1.26462310744793,1.43439332904573,0.993744457710443,-1.09470152736757,3.86252996186258
