Model	Trait	Sex	Population	Line	Estimate_Schmidt	Estimate_Gibert	Estimate_Grath	Estimate_Hoedjes	Estimate_StamenkovicRadak	Estimate_Zwaan	SE_Schmidt	SE_Gibert	SE_Grath	SE_Hoedjes	SE_StamenkovicRadak	SE_Zwaan
lmer_pop	DT_P	NA	MA	MA32	-18.799	NA	NA	NA	NA	NA	2.15	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MA	MA33	-21.332	NA	NA	NA	NA	NA	4.199	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MA	MA5	-12.726	NA	NA	NA	NA	NA	2.395	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MA	MA6	-1.551	NA	NA	NA	NA	NA	3.919	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MA	MA7	1.051	NA	NA	NA	NA	NA	2.287	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MA	MA9	1.953	NA	NA	NA	NA	NA	1.851	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU1	11.124	NA	NA	NA	NA	NA	2.239	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU10	0.84	NA	NA	NA	NA	NA	1.851	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU11	14.857	NA	NA	NA	NA	NA	2.071	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU12	-10.764	NA	NA	NA	NA	NA	2.071	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU13	-10.341	NA	NA	NA	NA	NA	2.395	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU14	11.352	NA	NA	NA	NA	NA	2.519	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU15	4.099	NA	NA	NA	NA	NA	2.519	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU16	17.339	NA	NA	NA	NA	NA	2.841	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU17	-7.313	NA	NA	NA	NA	NA	1.669	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU18	17.783	NA	NA	NA	NA	NA	3.183	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU19	-3.783	NA	NA	NA	NA	NA	2.287	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU2	-1.282	NA	NA	NA	NA	NA	2.395	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU20	-11.833	NA	NA	NA	NA	NA	1.967	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU3	-12.891	NA	NA	NA	NA	NA	1.878	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU4	2.954	NA	NA	NA	NA	NA	2.109	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU5	-8.326	NA	NA	NA	NA	NA	2.942	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU6	-8.338	NA	NA	NA	NA	NA	2.666	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU7	11.145	NA	NA	NA	NA	NA	2.071	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU8	-4.751	NA	NA	NA	NA	NA	2.395	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU9	-11.87	NA	NA	NA	NA	NA	2.287	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE10	10.717	NA	NA	NA	NA	NA	5.005	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE11	8.18	NA	NA	NA	NA	NA	1.878	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	RE	RE12	-13.904	NA	NA	NA	NA	NA	1.851	NA	NA	NA	NA	NA
