Model	Trait	Sex	Population	Line	Coef_Schmidt	Coef_Gibert	Coef_Grath	Coef_Hoedjes	Coef_StamenkovicRadak	Coef_Zwaan	SE_Schmidt	SE_Gibert	SE_Grath	SE_Hoedjes	SE_StamenkovicRadak	SE_Zwaan
lmer_pop	DT_P	NA	MA	MA13	136.266669544701	NA	NA	NA	NA	NA	3.50218681769375	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MA	MA18	137.986669544701	NA	NA	NA	NA	NA	3.4367771976123	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MA	MA19	116.214669544701	NA	NA	NA	NA	NA	3.88378546086519	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MA	MA20	121.237669544701	NA	NA	NA	NA	NA	4.17058659016065	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MA	MA21	118.641669544701	NA	NA	NA	NA	NA	3.65526038826618	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MA	MA23	154.513669544701	NA	NA	NA	NA	NA	5.13517570352056	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MA	MA26	130.506669544701	NA	NA	NA	NA	NA	3.88378546086519	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MA	MA27	138.153669544701	NA	NA	NA	NA	NA	3.47405433262462	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MA	MA28	135.738669544701	NA	NA	NA	NA	NA	3.63129584391411	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MA	MA3	115.874669544701	NA	NA	NA	NA	NA	3.53362766941112	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MA	MA30	165.017669544701	NA	NA	NA	NA	NA	4.34395183053724	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MA	MA31	157.443669544701	NA	NA	NA	NA	NA	3.8045306551568	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MA	MA32	113.204669544701	NA	NA	NA	NA	NA	3.65526038826618	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MA	MA33	110.671669544701	NA	NA	NA	NA	NA	5.13517570352056	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MA	MA5	119.277669544701	NA	NA	NA	NA	NA	3.8045306551568	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MA	MA6	130.452669544701	NA	NA	NA	NA	NA	4.9088684547488	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MA	MA7	133.054669544701	NA	NA	NA	NA	NA	3.73748545228311	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MA	MA9	133.956669544701	NA	NA	NA	NA	NA	3.48778289261643	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU1	140.853903143323	NA	NA	NA	NA	NA	3.63577816832778	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU10	130.569903143323	NA	NA	NA	NA	NA	3.41056635902147	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU11	144.586903143323	NA	NA	NA	NA	NA	3.53479884707588	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU12	118.965903143323	NA	NA	NA	NA	NA	3.53479884707588	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU13	119.388903143323	NA	NA	NA	NA	NA	3.73387022930483	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU14	141.081903143323	NA	NA	NA	NA	NA	3.81459341074366	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	MU	MU15	133.828903143323	NA	NA	NA	NA	NA	3.81459341074366	NA	NA	NA	NA	NA
