Model	Trait	Lab	Sex	Population	Line	Estimate	SE
lmer_pop	DT_P	Schmidt	NA	MU	MU12	-10.764	2.071
lmer_pop	DT_P	Schmidt	NA	MU	MU13	-10.341	2.395
lmer_pop	DT_P	Schmidt	NA	MU	MU14	11.352	2.519
lmer_pop	DT_P	Schmidt	NA	MU	MU15	4.099	2.519
lmer_pop	DT_P	Schmidt	NA	MU	MU16	17.339	2.841
lmer_pop	DT_P	Schmidt	NA	MU	MU17	-7.313	1.669
lmer_pop	DT_P	Schmidt	NA	MU	MU18	17.783	3.183
lmer_pop	DT_P	Schmidt	NA	MU	MU19	-3.783	2.287
lmer_pop	DT_P	Schmidt	NA	MU	MU2	-1.282	2.395
lmer_pop	DT_P	Schmidt	NA	MU	MU20	-11.833	1.967
lmer_pop	DT_P	Schmidt	NA	MU	MU3	-12.891	1.878
lmer_pop	DT_P	Schmidt	NA	MU	MU4	2.954	2.109
lmer_pop	DT_P	Schmidt	NA	MU	MU5	-8.326	2.942
lmer_pop	DT_P	Schmidt	NA	MU	MU6	-8.338	2.666
lmer_pop	DT_P	Schmidt	NA	MU	MU7	11.145	2.071
lmer_pop	DT_P	Schmidt	NA	MU	MU8	-4.751	2.395
lmer_pop	DT_P	Schmidt	NA	MU	MU9	-11.87	2.287
lmer_pop	DT_P	Schmidt	NA	RE	RE10	10.717	5.005
lmer_pop	DT_P	Schmidt	NA	RE	RE11	8.18	1.878
lmer_pop	DT_P	Schmidt	NA	RE	RE12	-13.904	1.851
lmer_pop	DT_P	Schmidt	NA	RE	RE13	13.994	2.589
lmer_pop	DT_P	Schmidt	NA	RE	RE15	-15.446	2.15
lmer_pop	DT_P	Schmidt	NA	RE	RE16	3.599	2.942
lmer_pop	DT_P	Schmidt	NA	RE	RE17	28.181	2.193
lmer_pop	DT_P	Schmidt	NA	RE	RE18	-2.112	2
lmer_pop	DT_P	Schmidt	NA	RE	RE2	-4.32	1.825
lmer_pop	DT_P	Schmidt	NA	RE	RE3	-13.57	4.199
lmer_pop	DT_P	Schmidt	NA	RE	RE4	-6.582	2.942
lmer_pop	DT_P	Schmidt	NA	RE	RE5	-1.069	5.005
lmer_pop	DT_P	Schmidt	NA	RE	RE6	14.639	3.183
lmer_pop	DT_P	Schmidt	NA	RE	RE7	-13.497	2.589
lmer_pop	DT_P	Schmidt	NA	RE	RE8	-8.813	1.906
lmer_pop	DT_P	Schmidt	NA	UM	UM13	-8.075	2.193
lmer_pop	DT_P	Schmidt	NA	UM	UM17	-13.841	2.395
lmer_pop	DT_P	Schmidt	NA	UM	UM18	-4.509	1.669
lmer_pop	DT_P	Schmidt	NA	UM	UM2	3.794	1.688
lmer_pop	DT_P	Schmidt	NA	UM	UM20	8.565	1.753
lmer_pop	DT_P	Schmidt	NA	UM	UM21	24.222	2.239
lmer_pop	DT_P	Schmidt	NA	UM	UM22	9.217	2.193
lmer_pop	DT_P	Schmidt	NA	UM	UM23	-7.091	2.455
lmer_pop	DT_P	Schmidt	NA	UM	UM25	19.506	2.395
lmer_pop	DT_P	Schmidt	NA	UM	UM28	-3.356	2.035
lmer_pop	DT_P	Schmidt	NA	UM	UM29	-21.054	2.589
lmer_pop	DT_P	Schmidt	NA	UM	UM4	0.672	2.071
lmer_pop	DT_P	Schmidt	NA	UM	UM5	2.834	2.239
lmer_pop	DT_P	Schmidt	NA	UM	UM7	-13.476	2.15
lmer_pop	DT_P	Schmidt	NA	UM	UM9	2.591	2.193
lmer_pop	DT_P	Schmidt	NA	VA	VA1	-25.145	2.193
lmer_pop	DT_P	Schmidt	NA	VA	VA11	31.983	2.666
lmer_pop	DT_P	Schmidt	NA	VA	VA15	-7.348	2.519
lmer_pop	DT_P	Schmidt	NA	VA	VA18	17.035	5.005
lmer_pop	DT_P	Schmidt	NA	VA	VA22	9.549	3.494
lmer_pop	DT_P	Schmidt	NA	VA	VA26	-7.065	2
lmer_pop	DT_P	Schmidt	NA	VA	VA30	-4.796	2.942
lmer_pop	DT_P	Schmidt	NA	VA	VA34	3.675	2.339
lmer_pop	DT_P	Schmidt	NA	VA	VA35	-4.969	2.339
lmer_pop	DT_P	Schmidt	NA	VA	VA44	30.271	3.919
lmer_pop	DT_P	Schmidt	NA	VA	VA46	-15.77	1.906
lmer_pop	DT_P	Schmidt	NA	VA	VA47	-1.578	1.878
lmer_pop	DT_P	Schmidt	NA	VA	VA48	6.429	4.199
lmer_pop	DT_P	Schmidt	NA	VA	VA55	-17.266	1.967
