Population	AT-MA	DE-MU	DK-KA	ES-GI	FI-AK	PT-RE	RU-VA	TR-YE	UA-UM
AT-MA	0.00	.	.	.	.	.	.	.	.
DE-MU	8.28	0.00	.	.	.	.	.	.	.
DK-KA	8.10	5.24	0.00	.	.	.	.	.	.
ES-GI	15.14	9.95	8.84	0.00	.	.	.	.	.
FI-AK	15.48	6.58	6.64	13.57	0.00	.	.	.	.
PT-RE	7.31	7.89	13.23	12.06	20.72	0.00	.	.	.
RU-VA	7.83	3.39	3.41	5.65	8.06	8.68	0.00	.	.
TR-YE	11.38	15.23	14.82	9.64	22.48	13.61	13.22	0.00	.
UA-UM	8.80	8.03	17.06	25.78	20.82	10.95	15.41	18.67	0.00
