"Supervisor.PI","Condition","Batch","Population","Mean"
"Wegener","18_LD_DD","1","UM",24.22
"Wegener","18_LD_DD","2","AK",24.22
"Wegener","18_LD_DD","2","GI",24.82
"Wegener","18_LD_DD","2","KA",24.06
"Wegener","18_LD_DD","2","MA",23.3
"Wegener","18_LD_DD","2","RE",24.72
"Wegener","18_LD_DD","2","VA",24.9
"Wegener","18_LD_DD","3","MU",24.92
"Wegener","18_LD_DD","3","YE",24.3
