"Supervisor.PI","Condition","Population","Mean"
"Wegener","18_LD_LD","AK",10.6
"Wegener","18_LD_LD","GI",25.15
"Wegener","18_LD_LD","KA",8.46
"Wegener","18_LD_LD","MA",17.78
"Wegener","18_LD_LD","MU",14.81
"Wegener","18_LD_LD","RE",14.72
"Wegener","18_LD_LD","UM",20.97
"Wegener","18_LD_LD","VA",11.73
"Wegener","18_LD_LD","YE",11.83
