"Supervisor.PI","Condition","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Wegener","29_LD_LD","AK",10.59,NA,10.59,10.59,10.59,NA,NA,10.59
"Wegener","29_LD_LD","GI",3.9,NA,3.9,3.9,3.9,NA,NA,3.9
"Wegener","29_LD_LD","KA",17.93,NA,17.93,17.93,17.93,NA,NA,17.93
"Wegener","29_LD_LD","MA",13,NA,13,13,13,NA,NA,13
"Wegener","29_LD_LD","MU",12.1,NA,12.1,12.1,12.1,NA,NA,12.1
"Wegener","29_LD_LD","RE",12.9,NA,12.9,12.9,12.9,NA,NA,12.9
"Wegener","29_LD_LD","UM",12.92,NA,12.92,12.92,12.92,NA,NA,12.92
"Wegener","29_LD_LD","VA",20.85,NA,20.85,20.85,20.85,NA,NA,20.85
"Wegener","29_LD_LD","YE",15.6,NA,15.6,15.6,15.6,NA,NA,15.6
