"Supervisor.PI","Condition","Batch","Population","Mean"
"Wegener","18_LD_DD","1","UM",24.28
"Wegener","18_LD_DD","2","AK",24.44
"Wegener","18_LD_DD","2","GI",24.82
"Wegener","18_LD_DD","2","KA",24.76
"Wegener","18_LD_DD","2","MA",23.12
"Wegener","18_LD_DD","2","RE",24.62
"Wegener","18_LD_DD","2","VA",24.84
"Wegener","18_LD_DD","3","MU",24.7
"Wegener","18_LD_DD","3","YE",24.76
