"Supervisor.PI","Condition","Batch","Population","Mean"
"Wegener","29_LD_LD","1","MU",23.88
"Wegener","29_LD_LD","2","AK",22.56
"Wegener","29_LD_LD","2","KA",22.96
"Wegener","29_LD_LD","2","MA",22.8
"Wegener","29_LD_LD","2","RE",23.3
"Wegener","29_LD_LD","2","UM",23.2
"Wegener","29_LD_LD","2","VA",24.04
"Wegener","29_LD_LD","3","GI",22.6
"Wegener","29_LD_LD","3","YE",22.5
