"Supervisor.PI","Condition","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Wegener","18_LD_DD","AK",24.44,NA,24.44,24.44,24.44,NA,NA,24.44
"Wegener","18_LD_DD","GI",24.82,NA,24.82,24.82,24.82,NA,NA,24.82
"Wegener","18_LD_DD","KA",24.76,NA,24.76,24.76,24.76,NA,NA,24.76
"Wegener","18_LD_DD","MA",23.12,NA,23.12,23.12,23.12,NA,NA,23.12
"Wegener","18_LD_DD","MU",24.7,NA,24.7,24.7,24.7,NA,NA,24.7
"Wegener","18_LD_DD","RE",24.62,NA,24.62,24.62,24.62,NA,NA,24.62
"Wegener","18_LD_DD","UM",24.28,NA,24.28,24.28,24.28,NA,NA,24.28
"Wegener","18_LD_DD","VA",24.84,NA,24.84,24.84,24.84,NA,NA,24.84
"Wegener","18_LD_DD","YE",24.76,NA,24.76,24.76,24.76,NA,NA,24.76
