"Supervisor.PI","Condition","Population","Mean"
"Wegener","18_LD_LD","AK",23.78
"Wegener","18_LD_LD","GI",24.14
"Wegener","18_LD_LD","KA",23.7
"Wegener","18_LD_LD","MA",23.54
"Wegener","18_LD_LD","MU",23.78
"Wegener","18_LD_LD","RE",24.02
"Wegener","18_LD_LD","UM",23.72
"Wegener","18_LD_LD","VA",24.08
"Wegener","18_LD_LD","YE",23.5
