"Supervisor.PI","Condition","Batch","Population","Mean"
"Wegener","18_LD_LD","2","AK",2.73e-23
"Wegener","18_LD_LD","3","GI",5.7e-27
"Wegener","18_LD_LD","3","KA",1.62e-19
"Wegener","18_LD_LD","3","MA",9.54e-23
"Wegener","18_LD_LD","3","MU",2.73e-23
"Wegener","18_LD_LD","3","UM",3.81e-23
"Wegener","18_LD_LD","3","YE",7.57e-17
"Wegener","18_LD_LD","4","RE",4.1e-23
"Wegener","18_LD_LD","4","VA",2.73e-23
