"Supervisor.PI","Condition","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Wegener","29_LD_LD","AK",3.06,NA,3.06,3.06,3.06,NA,NA,3.06
"Wegener","29_LD_LD","GI",5.51,NA,5.51,5.51,5.51,NA,NA,5.51
"Wegener","29_LD_LD","KA",3.79,NA,3.79,3.79,3.79,NA,NA,3.79
"Wegener","29_LD_LD","MA",3.05,NA,3.05,3.05,3.05,NA,NA,3.05
"Wegener","29_LD_LD","MU",1.36,NA,1.36,1.36,1.36,NA,NA,1.36
"Wegener","29_LD_LD","RE",2.24,NA,2.24,2.24,2.24,NA,NA,2.24
"Wegener","29_LD_LD","UM",4.03,NA,4.03,4.03,4.03,NA,NA,4.03
"Wegener","29_LD_LD","VA",2.6,NA,2.6,2.6,2.6,NA,NA,2.6
"Wegener","29_LD_LD","YE",4.3,NA,4.3,4.3,4.3,NA,NA,4.3
