"Supervisor.PI","Condition","Batch","Population","Mean"
"Wegener","18_LD_LD","2","AK",23.72
"Wegener","18_LD_LD","3","GI",24.18
"Wegener","18_LD_LD","3","KA",24.02
"Wegener","18_LD_LD","3","MA",24.04
"Wegener","18_LD_LD","3","MU",23.74
"Wegener","18_LD_LD","3","UM",23.9
"Wegener","18_LD_LD","3","YE",23.78
"Wegener","18_LD_LD","4","RE",23.96
"Wegener","18_LD_LD","4","VA",24.34
