"Supervisor.PI","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Onder","M","VA","VA67",62,14.1457154581444,64,24,112,1.58153906773902,0.228156700937813,56
"Onder","M","VA","VA71",51.009900990099,9.85342077606041,48,32,80,0.980452012296789,0.193166828102116,48
"Onder","M","VA","VA9",67.68,11.6747850541501,64,48,104,1.16747850541501,0.172499779168884,64
"Onder","M","YE","YE11",54.1538461538462,12.0699974909862,56,24,88,1.18356062952989,0.222883476396051,48
"Onder","M","YE","YE13",65.12,15.7975065159414,64,32,96,1.57975065159414,0.242590702026128,72
"Onder","M","YE","YE14",59.4747474747475,15.6768016797103,56,32,104,1.5755778510428,0.263587528242412,56
"Onder","M","YE","YE15",62.7878787878788,12.8470378760724,64,32,104,1.29117588795202,0.204610159223161,56
"Onder","M","YE","YE19",56.24,10.3875605481467,56,32,88,1.03875605481467,0.184700578736606,56
"Onder","M","YE","YE20",51.7979797979798,10.4958493234228,48,32,80,1.05487254733028,0.202630476407734,56
"Onder","M","YE","YE21",60.4,13.3272713492358,64,32,104,1.33272713492358,0.220650187901255,64
"Onder","M","YE","YE22",68.08,13.4777632050018,64,40,112,1.34777632050018,0.197969494785573,64
"Onder","M","YE","YE23",55.12,13.0587483738262,56,24,88,1.30587483738262,0.236914883414844,56
"Onder","M","YE","YE24",69.3877551020408,11.7021741332353,68,48,104,1.18209809774807,0.16864898015545,64
"Onder","M","YE","YE26",77.12,15.8994822353917,80,32,112,1.58994822353917,0.206165485417423,80
"Onder","M","YE","YE27",73.52,15.9471855596129,72,40,112,1.59471855596129,0.216909488025203,64
"Onder","M","YE","YE33",73.6326530612245,16.6846974491951,72,32,128,1.68540895833882,0.226593729215787,72
"Onder","M","YE","YE40",69.44,13.8274503737451,72,48,120,1.38274503737451,0.199128029575822,72
"Onder","M","YE","YE41",68.96,12.0754530207593,64,40,104,1.20754530207593,0.175108077447206,64
"Onder","M","YE","YE48",63.4343434343434,11.724874670721,64,32,88,1.17839424232495,0.184834807707226,64
"Onder","M","YE","YE49",62.56,10.1943933888023,64,32,88,1.01943933888023,0.162953858516661,64
"Onder","M","YE","YE51",58.64,14.1589248008156,56,32,104,1.41589248008156,0.24145506140545,48
"Onder","M","YE","YE69",69.76,14.6094752704116,72,24,120,1.46094752704116,0.209424817523102,64
"Onder","M","YE","YE80",79.12,12.0816080272972,80,40,112,1.20816080272972,0.152699798120541,72
"Pasyukova","F","AK","AK1",106.72,17.9145446241569,104,72,160,1.79145446241569,0.167864923389776,112
"Pasyukova","F","AK","AK10",116.56,23.6951684969955,120,56,168,2.36951684969955,0.203287306940593,136
"Pasyukova","F","AK","AK11",92.8,19.026828480338,88,56,136,1.9026828480338,0.205030479313987,88
"Pasyukova","F","AK","AK12",99.6,15.3557148904888,100,40,136,1.53557148904888,0.154173844282016,88
"Pasyukova","F","AK","AK13",109.52,21.3846352847699,112,56,160,2.13846352847699,0.195257809393443,104
