"Supervisor.PI","Condition","Batch","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Wegener","18_LD_LD","2","AK",23.78,NA,23.78,23.78,23.78,NA,NA,23.78
"Wegener","18_LD_LD","3","GI",24.14,NA,24.14,24.14,24.14,NA,NA,24.14
"Wegener","18_LD_LD","3","KA",23.7,NA,23.7,23.7,23.7,NA,NA,23.7
"Wegener","18_LD_LD","3","MA",23.54,NA,23.54,23.54,23.54,NA,NA,23.54
"Wegener","18_LD_LD","3","MU",23.78,NA,23.78,23.78,23.78,NA,NA,23.78
"Wegener","18_LD_LD","3","UM",23.72,NA,23.72,23.72,23.72,NA,NA,23.72
"Wegener","18_LD_LD","3","YE",23.5,NA,23.5,23.5,23.5,NA,NA,23.5
"Wegener","18_LD_LD","4","RE",24.02,NA,24.02,24.02,24.02,NA,NA,24.02
"Wegener","18_LD_LD","4","VA",24.08,NA,24.08,24.08,24.08,NA,NA,24.08
