"Supervisor.PI","Condition","Batch","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Wegener","29_LD_LD","1","MU",5.15e-11,NA,5.15e-11,5.15e-11,5.15e-11,NA,NA,5.15e-11
"Wegener","29_LD_LD","2","AK",1.15e-08,NA,1.15e-08,1.15e-08,1.15e-08,NA,NA,1.15e-08
"Wegener","29_LD_LD","2","KA",4.35e-06,NA,4.35e-06,4.35e-06,4.35e-06,NA,NA,4.35e-06
"Wegener","29_LD_LD","2","MA",1.03e-11,NA,1.03e-11,1.03e-11,1.03e-11,NA,NA,1.03e-11
"Wegener","29_LD_LD","2","RE",1.79e-10,NA,1.79e-10,1.79e-10,1.79e-10,NA,NA,1.79e-10
"Wegener","29_LD_LD","2","UM",2.07e-18,NA,2.07e-18,2.07e-18,2.07e-18,NA,NA,2.07e-18
"Wegener","29_LD_LD","2","VA",6.04e-13,NA,6.04e-13,6.04e-13,6.04e-13,NA,NA,6.04e-13
"Wegener","29_LD_LD","3","GI",2.01e-09,NA,2.01e-09,2.01e-09,2.01e-09,NA,NA,2.01e-09
"Wegener","29_LD_LD","3","YE",8.17e-13,NA,8.17e-13,8.17e-13,8.17e-13,NA,NA,8.17e-13
