"Supervisor.PI","Condition","Population","Mean"
"Wegener","29_LD_DD","AK",24.26
"Wegener","29_LD_DD","GI",22.8
"Wegener","29_LD_DD","KA",23.6
"Wegener","29_LD_DD","MA",22.46
"Wegener","29_LD_DD","MU",22.82
"Wegener","29_LD_DD","RE",24.42
"Wegener","29_LD_DD","UM",22.36
"Wegener","29_LD_DD","VA",24.26
"Wegener","29_LD_DD","YE",24.26
