"Supervisor.PI","Condition","Batch","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Wegener","29_LD_DD","2","AK",24.62,NA,24.62,24.62,24.62,NA,NA,24.62
"Wegener","29_LD_DD","2","GI",23.76,NA,23.76,23.76,23.76,NA,NA,23.76
"Wegener","29_LD_DD","2","MA",23.08,NA,23.08,23.08,23.08,NA,NA,23.08
"Wegener","29_LD_DD","2","MU",23.32,NA,23.32,23.32,23.32,NA,NA,23.32
"Wegener","29_LD_DD","2","UM",23.34,NA,23.34,23.34,23.34,NA,NA,23.34
"Wegener","29_LD_DD","2","YE",24.16,NA,24.16,24.16,24.16,NA,NA,24.16
"Wegener","29_LD_DD","3","KA",24.74,NA,24.74,24.74,24.74,NA,NA,24.74
"Wegener","29_LD_DD","3","RE",23.78,NA,23.78,23.78,23.78,NA,NA,23.78
"Wegener","29_LD_DD","3","VA",23.66,NA,23.66,23.66,23.66,NA,NA,23.66
