"Supervisor.PI","Condition","Population","Mean"
"Wegener","29_LD_LD","AK",1.15e-08
"Wegener","29_LD_LD","GI",2.01e-09
"Wegener","29_LD_LD","KA",4.35e-06
"Wegener","29_LD_LD","MA",1.03e-11
"Wegener","29_LD_LD","MU",5.15e-11
"Wegener","29_LD_LD","RE",1.79e-10
"Wegener","29_LD_LD","UM",2.07e-18
"Wegener","29_LD_LD","VA",6.04e-13
"Wegener","29_LD_LD","YE",8.17e-13
