"Supervisor.PI","Condition","Population","Mean"
"Wegener","18_LD_DD","AK",11.66
"Wegener","18_LD_DD","GI",6.55
"Wegener","18_LD_DD","KA",9.75
"Wegener","18_LD_DD","MA",7.47
"Wegener","18_LD_DD","MU",16.88
"Wegener","18_LD_DD","RE",10.72
"Wegener","18_LD_DD","UM",6.85
"Wegener","18_LD_DD","VA",10.22
"Wegener","18_LD_DD","YE",17.22
