"Supervisor.PI","Batch","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Zwaan","2","VA","VA1",0.576666666666667,0.285715476187996,0.7,0.25,0.78,0.164957907088782,0.495460363331785,0.78
"Zwaan","2","VA","VA35",0.9,0.0707106781186547,0.9,0.85,0.95,0.05,0.0785674201318386,0.95
"Zwaan","2","VA","VA44",0.82,0.0173205080756887,0.83,0.8,0.83,0.00999999999999997,0.0211225708240106,0.83
"Zwaan","2","VA","VA46",0.77,0.115325625946708,0.73,0.68,0.9,0.0665832811847939,0.14977354019053,0.73
"Zwaan","2","VA","VA47",0.7,NA,0.7,0.7,0.7,NA,NA,0.7
"Zwaan","2","VA","VA48",0.92,0.0360555127546399,0.93,0.88,0.95,0.0208166599946613,0.0391907747333042,0.88
"Zwaan","2","VA","VA55",0.66,0.427551166528639,0.8,0.18,1,0.246846781087648,0.647804797770665,0.8
"Zwaan","2","VA","VA57",0.57,0.121655250605964,0.63,0.43,0.65,0.0702376916856849,0.21343026422099,0.63
"Zwaan","2","VA","VA6",0.55,NA,0.55,0.55,0.55,NA,NA,0.55
"Zwaan","2","VA","VA66",0.72,0.208086520466848,0.83,0.48,0.85,0.120138808606267,0.289009056203956,0.83
"Zwaan","2","VA","VA67",0.566666666666667,0.0763762615825973,0.55,0.5,0.65,0.0440958551844099,0.134781638086936,0.55
"Zwaan","2","YE","YE11",0.33,NA,0.33,0.33,0.33,NA,NA,0.33
"Zwaan","2","YE","YE26",0.253333333333333,0.127017059221718,0.18,0.18,0.4,0.0733333333333333,0.50138312850678,0.18
"Zwaan","2","YE","YE27",0.125,0.0353553390593274,0.125,0.1,0.15,0.025,0.282842712474619,0.15
"Zwaan","2","YE","YE33",0.56,0.0964365076099295,0.6,0.45,0.63,0.0556776436283002,0.172208049303446,0.45
"Zwaan","2","YE","YE40",0.48,NA,0.48,0.48,0.48,NA,NA,0.48
"Zwaan","2","YE","YE41",0.22,0.247588368062799,0.13,0.03,0.5,0.142945210949277,1.12540167301272,0.03
"Zwaan","2","YE","YE48",0.67,0.0854400374531753,0.68,0.58,0.75,0.0493288286231625,0.127522443959963,0.68
"Zwaan","2","YE","YE49",0.46,0.0793725393319377,0.43,0.4,0.55,0.0458257569495584,0.172548998547691,0.4
"Zwaan","2","YE","YE51",0.683333333333333,0.0763762615825973,0.7,0.6,0.75,0.0440958551844099,0.111770138901362,0.6
"Zwaan","2","YE","YE69",0.76,0.127671453348037,0.73,0.65,0.9,0.07371114795832,0.167988754405312,0.9
