"Supervisor.PI","Condition","Batch","Population","Mean"
"Wegener","18_LD_LD","2","AK",2.01
"Wegener","18_LD_LD","3","GI",2.43
"Wegener","18_LD_LD","3","KA",4.94
"Wegener","18_LD_LD","3","MA",4.66
"Wegener","18_LD_LD","3","MU",2.2
"Wegener","18_LD_LD","3","UM",4.25
"Wegener","18_LD_LD","3","YE",3.7
"Wegener","18_LD_LD","4","RE",1.67
"Wegener","18_LD_LD","4","VA",3.14
