"Supervisor.PI","Condition","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Wegener","29_LD_LD","AK",22.56,NA,22.56,22.56,22.56,NA,NA,22.56
"Wegener","29_LD_LD","GI",22.6,NA,22.6,22.6,22.6,NA,NA,22.6
"Wegener","29_LD_LD","KA",22.96,NA,22.96,22.96,22.96,NA,NA,22.96
"Wegener","29_LD_LD","MA",22.8,NA,22.8,22.8,22.8,NA,NA,22.8
"Wegener","29_LD_LD","MU",23.88,NA,23.88,23.88,23.88,NA,NA,23.88
"Wegener","29_LD_LD","RE",23.3,NA,23.3,23.3,23.3,NA,NA,23.3
"Wegener","29_LD_LD","UM",23.2,NA,23.2,23.2,23.2,NA,NA,23.2
"Wegener","29_LD_LD","VA",24.04,NA,24.04,24.04,24.04,NA,NA,24.04
"Wegener","29_LD_LD","YE",22.5,NA,22.5,22.5,22.5,NA,NA,22.5
