"Supervisor.PI","Condition","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Wegener","18_LD_LD","AK",23.72,NA,23.72,23.72,23.72,NA,NA,23.72
"Wegener","18_LD_LD","GI",24.18,NA,24.18,24.18,24.18,NA,NA,24.18
"Wegener","18_LD_LD","KA",24.02,NA,24.02,24.02,24.02,NA,NA,24.02
"Wegener","18_LD_LD","MA",24.04,NA,24.04,24.04,24.04,NA,NA,24.04
"Wegener","18_LD_LD","MU",23.74,NA,23.74,23.74,23.74,NA,NA,23.74
"Wegener","18_LD_LD","RE",23.96,NA,23.96,23.96,23.96,NA,NA,23.96
"Wegener","18_LD_LD","UM",23.9,NA,23.9,23.9,23.9,NA,NA,23.9
"Wegener","18_LD_LD","VA",24.34,NA,24.34,24.34,24.34,NA,NA,24.34
"Wegener","18_LD_LD","YE",23.78,NA,23.78,23.78,23.78,NA,NA,23.78
